,municipality_id,municipality,munici_English,Total population (Both sexes),Total population (0-14),Total population (15-64),Total population (65 and over),Foreigners (Total),Densely inhabited districts population,Live births,Deaths,Number of in-migrants from other municipalities,Number of out-migrants to other municipalities,Daytime population,Number of households (Total),Number of private households,Nuclear families,One-person households,No. of nuclear families with household members 65 years of age and over,No. of aged-couple households (Only aged couple),No. of aged-single-person households (Aged 65 and over),Marriages,Divorces,Total land area (Excl. the northern territories and Takeshima),Inhabitable area,Taxable income,Tax debtor (per income),Number of establishments,Number of establishments (Secondary industry),Number of establishments (Tertiary industry),Number of persons engaged,Number of persons engaged (Secondary industry),Number of persons engaged (Tertiary industry),Cultivated land area,"Value of manufactured goods shipments, etc.",Number of manufacturing employees,Annual sales of commercial goods,Number of establishments (Wholesale and retail trade),Number of employees (Wholesale and retail trade),Financial strength index (municipalities),Real term balance of revenue to expenditure (municipalities),Ratio of net cost of bonds (municipalities),Settlement of total revenue (municipalities),Settlement of total expenditure (municipalities),Local taxes (municipalities),Number of kindergartens,Number of Kindergarten students,Number of elementary schools,Number of elementary school teachers,Elementary school students,Number of lower secondary schools,Number of lower secondary school teachers,Lower secondary school students,Number of upper secondary schools,Upper secondary school students,Population in labour force,Employed persons,Unemployed persons,Persons employed in primary industry,Persons employed in secondary industry,Persons employed in tertiary industry,No. of employees,"No. of board member of company, etc.","No. of self-employed, employing others","No. of self-employed, not employing others",No. of family employees (Total),Population working in the same municipalities,Commuters to other municipality,Employed persons based on workplace,Workers commuting from other municipalities,No. of public halls,No. of libraries,Number of dwellings with occupying households,No. of owned houses,No. of rented houses,Area of floor space per dwelling,Population covered by waste processing service,Garbage planned collection population,Total volume of waste matter (Total),Rate of recycled,No. of retail stores,No. of eating and drinking places,No. of large-scale retail stores,No. of department stores and general merchandise store,General hospitals,Medical clinics,Dental clinic,Physicians,Dentists,No. of pharmacists,No. of elderly nursing facilities,No. of child welfare institutions (Excl. midwifery home and children's playground),Number of nursery centers,Number of infants enrolled in nursery centers,Persons insured by national health insurance
289,4323.0,柴田町　　　　,Shibata-machi,39525,4803,24410,10201,136,22782,267,409,1555,1719,36069,15121,15063,8389,4455,3576,1731,1098,161,57,54.03,35.1,44830,16844,1257,210,1046,14625,5634,8968,10,149723,4610,56279,248,1953,0.62,1.3,3.7,12658,12504,4430,5,577,6,130,1990,3,73,972,1,477,19295,17946,1349,435,6028,11462,15727,597,274,958,381,7704,10208,14797,7059,4,1,15060,9970,5020,108.92,4741,38337,12864,18.5,228,124,7,1,1,24,14,41,28,48,3,9,3,413,8933
290,4324.0,川崎町　　　　,Kawasaki-machi,9167,898,5185,3083,27,...,37,149,168,254,8303,2880,2869,1466,532,789,329,257,25,12,270.77,63.21,8684,3677,485,129,340,3832,1189,2494,18,15824,878,5584,101,316,0.31,1.8,3.2,5009,4868,945,1,15,4,48,374,2,33,190,1,81,4988,4755,233,487,1540,2723,3687,205,96,473,272,2922,1804,4135,1184,9,0,...,...,...,...,1756,9124,2614,15.5,104,28,0,0,2,4,2,15,5,7,1,1,1,185,2422
291,4341.0,丸森町　　　　,Marumori-machi,13972,1364,7368,5228,98,...,54,267,238,365,12308,4547,4540,2259,849,1429,597,536,36,13,273.3,81.4,13516,5447,558,165,382,4203,1987,2130,30,31583,1373,7962,130,538,0.29,8.2,9.6,9168,8624,1320,0,0,9,86,541,1,23,332,1,283,7046,6704,342,860,2712,3086,5043,236,139,812,418,3505,3164,5220,1680,0,1,4530,4360,180,164.51,6398,14313,3625,21.4,139,31,1,0,1,6,5,9,6,12,0,4,3,123,3841
292,4361.0,亘理町　　　　,Watari-cho,33589,4224,19906,9361,81,5130,192,406,1092,1093,27961,11334,11324,6850,2031,3005,1377,875,112,60,73.6,61.63,39267,14653,1040,247,789,10100,3842,6193,31,67716,2568,36349,207,1449,0.55,29.6,6,21203,17879,3440,2,129,6,121,1726,4,82,947,1,570,17059,16137,922,1165,5066,9719,13227,581,289,1174,765,6835,9178,11460,4501,4,1,10520,8690,1820,125.9,3055,34120,10290,19.6,209,63,4,0,0,26,10,25,13,33,4,13,7,535,8589
293,4362.0,山元町　　　　,Yamamoto-cho,12315,1141,6653,4509,50,...,53,179,447,392,11672,4429,4350,2250,1062,1389,680,538,44,23,64.58,42.82,12339,4813,425,110,310,4134,1486,2543,18,17209,1017,10577,81,434,0.35,64.3,11.9,31320,27176,1150,2,201,4,53,456,2,38,294,0,0,6044,5678,366,518,1973,3089,4467,277,130,462,268,2857,2745,5410,2477,2,0,4330,3970,360,143.01,2462,12509,4104,19.3,73,22,0,0,1,4,2,18,4,19,1,3,1,149,3551
294,4401.0,松島町　　　　,Matsushima-machi,14421,1375,7957,5083,32,6928,75,220,390,462,12621,5112,5098,2859,1061,1643,727,573,48,16,53.56,25.96,15597,6034,608,96,507,4908,524,4326,10,2763,187,9598,136,668,0.45,80,9.4,16969,12809,1697,3,119,3,49,568,1,24,313,1,585,7238,6755,483,352,1451,4919,5425,343,135,507,280,2753,3958,5034,2237,1,0,4550,4070,440,145.62,629,14712,6442,10,135,69,1,0,1,4,4,12,6,15,1,4,3,176,3562
295,4404.0,七ヶ浜町　　　,Shichigahama-machi,18652,2263,11420,4969,49,7505,79,226,563,636,12795,6167,6164,3897,946,1681,724,437,74,35,13.19,11.18,23410,8396,465,108,355,2913,618,2282,2,1221,96,8250,74,369,0.59,14.1,2.1,11719,10499,2134,2,67,3,66,968,2,50,556,0,0,9339,8647,692,256,2321,6016,7218,402,196,511,273,2138,6452,3657,1462,2,0,5940,5130,720,129.64,390,19199,6340,12.2,78,18,0,0,0,6,4,4,7,6,1,3,3,201,4433
296,4406.0,利府町　　　　,Rifu-cho,35835,5528,22740,7258,108,12254,295,228,1314,1442,30168,12191,12181,8371,2031,2458,1154,693,119,57,44.89,22.77,52226,16697,1034,250,784,12801,3689,9112,4,38547,2540,59712,207,2087,0.84,6.2,9.6,15254,13839,4705,4,662,6,143,2330,3,84,1151,1,825,18425,17643,782,336,4030,13056,15189,846,247,861,386,5263,12253,12839,7449,1,1,11670,9010,2570,113.3,1343,36324,14004,10.1,190,83,4,2,2,17,13,48,20,56,2,9,7,573,6670
297,4421.0,大和町　　　　,Taiwa-cho,28244,4274,17602,5952,120,16783,291,253,1300,1474,32161,10177,10147,5145,3154,1419,576,664,180,61,225.49,64.26,36553,12864,1228,241,966,16199,5993,9978,23,424333,6757,81875,241,1919,0.78,7,2.8,12003,11320,4973,2,590,6,120,1735,2,57,740,1,670,14594,13990,604,669,4302,8769,11852,508,210,874,428,6488,7341,17742,11093,42,0,8970,6170,2480,118.46,4183,28563,10685,10.7,199,100,2,1,1,16,9,33,12,51,3,10,4,474,5279
298,4422.0,大郷町　　　　,Osato-cho,8370,962,4670,2738,30,...,30,143,176,210,8022,2421,2416,1111,372,599,242,195,23,7,82.01,45.19,8259,3331,374,120,249,3654,1689,1893,21,34505,1321,9718,66,346,0.42,8.3,9.8,5294,4907,1091,1,91,1,25,402,1,18,196,0,0,4357,4172,185,500,1153,2515,3239,155,75,470,233,1864,2302,4072,2202,23,0,...,...,...,...,2530,8324,2460,12,55,18,0,0,0,3,2,2,2,2,1,1,1,99,1940
299,4424.0,大衡村　　　　,Ohira-mura,5703,807,3225,1489,51,...,43,74,174,161,9911,1755,1742,842,369,335,149,107,15,13,60.32,31.84,5916,2366,313,94,216,7503,3855,3597,14,332929,4224,40675,43,409,0.69,9.5,9.4,4615,4238,1488,0,0,1,23,335,1,16,179,0,0,3046,2951,95,371,973,1526,2315,113,34,281,177,1394,1521,7335,5905,1,0,...,...,...,...,705,5871,2503,10.8,26,12,0,0,0,4,1,2,4,0,2,2,1,157,1252
300,4444.0,色麻町　　　　,Shikama-cho,7238,927,4132,2179,56,...,44,129,161,207,6547,1974,1969,800,302,411,136,128,23,8,109.28,46.58,7252,2932,248,76,163,2528,1041,1315,29,31926,625,4145,41,130,0.29,5,7.8,4648,4476,766,1,142,1,22,374,1,19,208,1,221,3934,3827,107,735,1312,1777,2862,113,58,461,327,1814,2007,3228,1408,1,0,...,...,...,...,1853,7086,1953,9.8,44,16,0,0,1,1,1,8,2,9,2,3,2,76,1803
301,4445.0,加美町　　　　,Kami-machi,23743,2696,13200,7837,97,...,143,368,489,633,22591,7564,7557,3512,1420,1918,829,704,82,29,460.67,131.88,24845,9879,1223,288,909,11065,4502,6347,62,63094,3064,24209,268,1441,0.33,10.2,7.5,14036,13067,2645,2,91,9,120,1114,3,54,582,1,336,12782,12266,516,1754,4191,6028,8863,570,282,1397,979,7833,4217,11545,3496,9,2,7540,6570,550,162.23,8357,24296,7790,8,276,85,4,1,0,16,9,17,11,21,3,8,5,504,6255
302,4501.0,涌谷町　　　　,Wakuya-cho,16701,1814,9526,5358,40,...,79,213,365,393,15333,5476,5454,2845,1065,1509,632,590,52,26,82.16,59.44,15743,6608,680,137,527,6526,2206,4105,34,57211,1636,34734,156,1211,0.36,5.7,11.4,8084,7456,1515,4,154,3,52,716,1,29,391,1,412,8642,8169,473,1121,2570,4464,6184,374,190,855,557,4054,4107,6995,2933,2,0,5230,4490,740,137.19,8163,16728,5461,6.6,142,52,3,1,2,7,7,23,12,20,2,3,2,320,4827
303,4505.0,美里町　　　　,Misato-machi,24852,2820,14142,7890,70,...,142,342,679,741,21344,8343,8318,4501,1681,2213,976,828,73,28,74.95,74.82,27749,10550,970,196,762,8491,2224,6153,50,31899,1201,67774,168,1286,0.42,2.3,10,10169,9955,2554,3,418,6,93,1171,3,52,567,2,786,12722,12192,530,1384,3258,7528,9554,503,242,1128,751,5173,6993,8984,3785,0,2,8450,7320,1130,138.15,6721,25056,9263,6.7,156,82,2,1,2,11,10,15,13,22,1,6,2,200,6303
304,4581.0,女川町　　　　,Onagawa-cho,6334,554,3653,2126,99,...,25,88,246,317,8183,3154,2818,1243,1257,714,407,373,35,15,65.35,9.47,7600,2483,248,89,156,3485,1319,2137,0,16377,877,13049,41,301,0.99,52.7,4.3,65426,62367,3159,0,0,1,22,200,1,22,145,0,0,3505,3388,117,367,1355,1660,2703,180,77,256,168,2684,694,5362,2668,0,0,...,...,...,...,1294,6779,2613,17.3,71,24,0,0,0,2,1,4,1,5,1,2,2,127,2102
305,4606.0,南三陸町　　　,Minamisanriku-cho,12370,1275,6955,4138,64,...,64,213,299,476,12952,4041,4032,1823,904,1040,367,372,41,26,163.4,37.45,13152,4937,343,87,244,3980,1317,2572,9,23403,808,15217,61,311,0.29,41.1,9.3,49741,43592,1275,1,35,5,78,535,2,40,335,1,237,6475,6244,231,1317,1954,2720,4249,310,212,709,625,4897,1209,6919,1884,4,1,4900,2430,2440,93.74,5395,13572,4633,22.3,110,28,0,0,1,5,2,11,5,13,2,3,3,167,4560
306,5.0,秋田県　　　,Akita-ken,1023119,106041,565237,343301,2914,357636,5396,15425,20895,25214,1020642,388560,387392,201267,108141,99771,49117,47823,3311,1366,11637.52,3204.38,1074360,411370,52894,9393,42699,465227,107590,349691,1482,1235285,61695,2256067,11298,74309,...,...,...,565994,548952,111200,41,2936,202,3373,43795,117,2273,23894,55,24818,504758,482867,21891,46456,115978,312620,375154,19289,10782,46562,26216,399319,78503,481262,76898,350,47,389000,303800,81500,138.61,222642,1031032,370216,15.7,10224,4704,144,17,53,809,445,2384,627,2009,117,399,272,23810,235413
307,5201.0,秋田市　　　　,Akita-shi,315814,34916,186207,88713,1145,250569,1987,3732,8218,9027,329561,135318,135018,74097,47053,30175,15886,15366,1240,520,906.07,290.66,405124,139572,15804,2072,13661,163923,22741,140439,91,279982,10244,1147819,3348,27781,0.66,2.3,10.6,135567,133688,43391,17,1643,43,920,14666,27,574,7854,14,8229,147186,140707,6479,2893,22567,110438,117860,6363,2393,8139,3243,130699,7372,151746,18411,6,8,138090,90290,44980,105.65,13022,315496,121780,22.1,2752,1610,56,5,16,278,169,1227,242,857,20,127,69,6574,63257
308,5202.0,能代市　　　　,Noshiro-shi,54730,5058,28184,20248,155,19104,235,973,1176,1438,57241,22371,22295,11624,6780,6198,3249,3438,158,80,426.95,174.05,53511,21213,3151,519,2597,25900,5977,19457,75,75444,2935,105723,679,4191,0.44,4.2,6.3,29869,29129,5956,2,231,12,179,2204,7,124,1255,5,2010,26149,24749,1400,2104,5697,16495,18738,1125,640,2514,1405,21469,2990,26738,4979,18,1,22380,18290,4000,136.15,21295,55450,20021,8.1,636,353,8,1,5,52,24,146,36,133,3,18,16,1076,13114
309,5203.0,横手市　　　　,Yokote-shi,92197,9805,49769,32319,282,12603,494,1534,1590,2056,93863,31463,31375,15359,6720,8255,3958,3246,294,103,692.8,315.48,88479,35363,5033,934,4005,42207,10975,30264,176,131065,7737,212371,1196,7576,0.33,4.9,7.4,53613,51844,8445,4,223,17,310,4036,8,193,2228,6,2733,48551,46718,1833,7559,11587,27398,33470,1849,1050,6179,4050,39998,6541,48214,8037,36,6,32040,26410,5570,160.17,31246,92422,30902,20.6,1076,431,10,3,3,81,42,192,52,175,12,37,30,2751,22545
310,5204.0,大館市　　　　,Odate-shi,74175,7647,39755,26549,163,24156,398,1181,1431,1746,75308,28242,28164,14723,7690,7838,3769,3893,251,107,913.22,191.13,75499,30371,3797,634,3113,34962,9844,24608,77,135263,6626,187440,806,5553,0.42,5.5,9.4,37171,35839,8119,1,18,17,264,3187,9,169,1704,3,1987,36017,34370,1647,2379,9571,21994,27892,1355,685,2649,1502,31574,2477,35286,3393,31,4,27800,21960,5790,136.69,22613,74902,27357,14.6,690,332,13,2,5,47,29,145,39,158,8,28,14,1202,16639
311,5206.0,男鹿市　　　　,Oga-shi,28375,2206,14492,11664,50,...,97,497,458,696,26810,11147,11106,6390,2811,3872,2044,1810,57,25,241.09,115.69,24249,10215,1412,274,1119,10573,2428,7949,47,13652,631,31119,293,1730,0.36,2.6,11.2,17051,16687,3308,2,73,6,88,883,4,57,504,2,574,13396,12634,762,1720,2900,7877,9241,510,324,1564,906,9143,3379,11313,2058,11,1,11340,10100,1160,146.93,11538,29217,10118,8.8,291,113,5,0,1,24,11,31,14,28,4,7,7,497,7884
312,5207.0,湯沢市　　　　,Yuzawa-shi,46613,4507,25403,16650,123,10378,203,773,822,1012,47023,16384,16329,7953,3754,4483,1997,1944,131,50,790.91,158.44,40206,16967,2823,628,2152,21610,6708,14477,67,59890,4448,62155,595,3244,0.29,4,11.4,31460,30776,4005,2,139,11,157,1726,6,121,1037,4,1350,23871,22848,1023,2839,7330,12596,16545,863,607,2953,1792,18294,4423,23266,4841,14,2,16410,14370,1980,161.03,13557,47300,16117,12.8,562,236,6,1,1,34,20,71,33,59,5,15,11,1002,12169
313,5209.0,鹿角市　　　　,Kazuno-shi,32038,3439,16752,11793,83,...,163,506,500,748,31089,11508,11463,5513,3024,3115,1481,1708,95,37,707.52,148.38,28442,12335,1638,294,1304,13488,3368,9815,63,22078,1699,44458,341,2059,0.32,2.9,7.9,18290,17960,2979,1,33,9,126,1420,5,93,727,2,654,16385,15637,748,2035,4250,9295,11974,589,394,1578,1033,13506,2076,14897,1336,0,2,11640,9580,2050,159.84,12495,32273,13427,18.5,342,120,3,0,3,15,14,40,20,54,2,14,11,980,7349
314,5210.0,由利本荘市　　,Yurihonjo-shi,79927,8551,44556,26427,201,18059,393,1184,1287,1681,78676,28349,28232,13738,7367,6905,3058,3099,234,98,1209.59,297.26,80753,31757,4050,793,3191,35050,10878,23487,129,116327,7156,107936,889,4951,0.33,10.7,10.1,51135,47579,7906,2,169,14,256,3578,10,183,1859,5,2222,40476,38878,1598,4328,11879,22288,29835,1302,802,4263,2358,33073,5480,37666,4268,25,3,26840,22690,3990,155.3,8314,79906,27302,10.5,824,388,9,1,5,62,30,177,45,151,12,31,27,2353,18675
315,5211.0,潟上市　　　　,Katagami-shi,33083,3720,18997,10340,28,...,189,434,817,845,27198,12023,11987,7147,2611,3206,1549,1337,118,36,97.72,66.44,31865,13189,1252,281,952,10097,2711,7275,34,44629,1533,31648,256,1609,0.34,6.8,6.5,16286,15574,2598,2,157,6,104,1458,3,81,869,1,520,16357,15490,867,933,4068,10137,12688,497,341,1198,600,6655,8661,10257,3428,69,3,12180,10090,1960,135.86,4668,33508,11738,12,240,73,3,0,2,18,10,35,12,41,6,12,8,658,7514
316,5212.0,大仙市　　　　,Daisen-shi,82783,8725,45364,28659,176,16987,462,1373,1556,1785,82001,28198,28126,13708,6029,7230,3313,3333,271,110,866.77,368.03,80048,32054,4609,905,3620,37068,9518,26611,199,70145,4953,139782,1027,6165,0.34,3.7,14,47730,46470,7924,1,58,21,314,3592,11,206,1855,6,1975,43126,41500,1626,5713,10617,24805,30577,1684,909,5012,3063,32906,8283,41164,7947,31,8,27120,23370,3550,167.75,32309,84430,30302,10.4,978,370,14,2,5,65,35,159,51,165,11,39,25,2368,19680
317,5213.0,北秋田市　　　,Kitaakita-shi,33224,2932,16723,13457,108,...,133,664,564,686,32809,12222,12162,6098,3164,3771,1933,1946,77,34,1152.76,189.29,28676,12188,1838,352,1439,14176,3822,9889,63,25179,2130,44443,356,1929,0.26,4.1,9.2,24458,23685,3008,0,0,10,123,1200,5,81,640,1,678,15984,15291,693,1770,4217,9279,11801,629,304,1728,800,12964,2289,15062,2060,13,2,12160,10120,2020,161.83,6431,33643,11222,11.9,338,140,3,0,1,28,12,39,16,46,5,18,11,837,7777
318,5214.0,にかほ市　　　,Nikaho-shi,25324,2805,13790,8706,54,5780,108,356,400,568,24670,8804,8783,4621,1903,2451,1156,983,73,24,241.13,78.14,28140,10315,1280,328,942,10118,3876,6088,37,152404,3427,26663,257,1305,0.38,2.4,9,14638,14400,2698,1,0,6,84,1112,3,67,673,1,334,12832,12300,532,1245,4825,6181,9571,387,338,1234,736,9450,2789,12113,2602,3,1,8760,7740,1020,157.99,1371,25644,9351,10.8,248,116,4,0,1,19,6,22,10,28,4,9,9,748,6368
319,5215.0,仙北市　　　　,Semboku-shi,27523,2740,14187,10563,77,...,123,479,438,626,27139,9594,9561,4439,2338,2678,1235,1313,93,32,1093.56,151.75,22934,9802,1628,291,1304,11713,3010,8406,55,15666,1402,30996,330,1746,0.25,2.2,10.3,19303,18988,2640,2,23,7,106,1113,5,81,589,1,687,14146,13499,647,1879,3365,8094,9838,583,488,1424,1063,10964,2417,13188,2106,10,1,9200,8190,1000,168.95,11824,27678,10506,6.7,333,178,3,0,2,21,14,42,20,41,3,9,8,709,6830
320,5303.0,小坂町　　　　,Kosaka-machi,5339,477,2631,2225,8,...,14,107,97,136,5812,2168,2154,1072,685,668,342,397,7,4,201.7,18.77,4709,1945,299,47,243,2858,1200,1478,9,22583,760,3273,55,208,0.3,3.9,13.3,4586,4454,694,0,0,1,14,180,1,17,126,1,138,2520,2397,123,200,713,1482,1936,86,35,238,95,1587,799,2908,1310,6,1,...,...,...,...,633,5394,2217,20.7,57,16,0,0,0,5,2,1,2,4,2,3,2,109,1289
321,5327.0,上小阿仁村　　,Kamikoani-mura,2381,141,1081,1159,20,...,7,70,45,50,2158,918,913,462,259,326,165,187,3,3,256.72,18.58,1688,795,122,30,83,766,165,521,5,452,42,1106,22,83,0.11,6.6,5.5,2504,2385,175,0,0,1,12,60,1,10,30,0,0,1001,960,41,152,272,535,732,32,24,104,60,596,358,793,191,3,1,...,...,...,...,360,2423,791,12.7,23,5,0,0,0,3,0,2,1,1,1,1,1,38,683
322,5346.0,藤里町　　　　,Fujisato-machi,3359,269,1625,1465,14,...,7,75,39,97,2842,1215,1204,569,291,389,190,204,6,7,282.13,37.34,2367,1144,180,36,129,952,181,671,10,465,77,1394,30,109,0.12,5.6,8.6,3632,3487,225,1,43,1,14,106,1,13,59,0,0,1558,1506,52,193,390,918,1185,26,44,163,84,862,640,1081,215,1,0,...,...,...,...,568,3448,892,7,33,13,0,0,0,2,1,0,0,0,1,1,1,31,941
323,5348.0,三種町　　　　,Mitane-cho,17078,1453,8857,6766,37,...,67,339,256,333,14983,6010,5980,2946,1335,1813,854,892,30,22,247.98,112.11,14607,6305,777,196,559,5316,1824,3289,59,7393,641,12402,151,720,0.25,3.8,8.7,11581,11221,1402,1,11,6,71,581,3,43,325,0,0,8779,8386,393,1665,2120,4481,5749,279,195,1214,839,5412,2874,6763,1251,23,0,6290,5920,360,168.49,5084,17504,5309,6.3,148,34,1,0,1,12,4,11,3,5,4,10,6,397,4483
324,5349.0,八峰町　　　　,Happou-cho,7309,590,3673,3046,22,...,24,158,125,161,6396,2706,2696,1353,639,890,414,424,16,6,234.14,42.95,5991,2604,364,97,243,2331,743,1443,21,3842,355,5343,66,282,0.16,9,8.2,6750,6352,560,0,0,2,26,245,1,20,157,0,0,3783,3643,140,749,914,1892,2517,124,120,503,335,2282,1318,2930,605,1,0,...,...,...,...,2857,7550,2427,10.5,63,17,0,0,0,6,2,0,2,5,3,3,3,138,2066
325,5361.0,五城目町　　　,Gojome-machi,9463,756,4752,3953,12,...,36,188,165,275,8815,3573,3564,1839,905,1146,627,570,20,11,214.92,38.88,8104,3441,481,89,380,3563,954,2468,18,8899,581,10840,109,658,0.25,5.4,7.5,5492,5286,795,0,0,1,21,280,1,20,184,1,271,4567,4321,246,534,1127,2634,3258,167,107,485,291,2430,1877,3685,1241,8,0,...,...,...,...,3310,9828,2369,4.1,111,31,1,1,0,8,3,6,4,9,2,1,1,177,2269
326,5363.0,八郎潟町　　　,Hachirogata-machi,6080,566,3222,2266,19,...,25,86,115,146,5164,2220,2210,1207,500,669,319,312,16,5,17,13.93,5562,2305,291,51,234,1870,464,1369,8,2133,311,4241,68,298,0.26,10,9.1,3346,3108,490,1,37,1,18,227,1,17,134,0,0,3062,2915,147,324,646,1898,2189,94,64,371,175,1295,1587,2169,841,1,1,...,...,...,...,444,6133,1611,13.8,70,25,0,0,1,5,1,11,2,18,1,1,1,102,1487
327,5366.0,井川町　　　　,Ikawa-machi,4986,461,2649,1875,6,...,19,57,73,110,4474,1563,1558,791,268,441,210,179,4,4,47.95,22.27,4414,1766,213,51,159,1896,863,959,13,9165,652,6401,35,310,0.23,9,6.6,3413,3075,425,0,0,1,14,176,1,14,118,0,0,2512,2413,99,326,670,1404,1867,74,46,285,134,1065,1341,2085,1013,27,0,...,...,...,...,4752,4920,1413,5,32,11,1,0,0,3,4,2,3,0,1,3,1,68,971
328,5368.0,大潟村　　　　,Ogata-mura,3110,429,1719,961,4,...,19,43,177,162,3614,796,792,316,117,157,71,50,12,4,170.11,159.66,6562,1791,153,15,115,1742,321,1254,115,7697,278,9748,31,235,0.35,7,6.5,3463,3311,724,1,78,1,16,167,1,13,106,0,0,2032,2015,17,1552,31,431,1353,60,459,68,73,1846,167,2735,887,1,0,...,...,...,...,0,3212,1131,18.7,30,2,1,0,0,2,1,1,1,3,1,2,1,26,1911
329,5434.0,美郷町　　　　,Misato-cho,20279,2094,11024,7161,50,...,90,315,312,415,17284,6152,6118,2748,954,1550,662,605,58,22,168.34,96.51,17622,7536,925,264,631,6982,2659,4068,66,16344,1613,16513,202,868,0.26,6,5.4,11569,11078,1441,0,0,3,62,852,1,33,473,1,268,10897,10549,348,1789,3177,5553,7726,345,196,1434,813,5605,4891,7954,2296,1,1,6350,5940,410,186.11,6252,20374,6771,8.4,185,37,2,1,0,11,5,9,8,9,3,3,3,460,4939
330,5463.0,羽後町　　　　,Ugo-machi,15319,1489,8432,5384,71,...,91,267,196,365,13591,4807,4796,2191,800,1309,541,496,41,19,230.78,68.52,12844,5455,646,177,440,5272,2117,2937,40,14289,1389,11423,136,642,0.24,6.7,9.3,8732,8330,1108,0,0,4,61,645,1,30,318,1,188,8203,7823,380,1378,2604,3835,5597,225,192,1115,676,4918,2882,6330,1389,10,1,4680,4240,430,182.4,7316,15739,4520,15.7,142,51,1,0,1,5,5,14,10,18,2,5,5,429,3939
331,5464.0,東成瀬村　　　,Higashinaruse-mura,2610,265,1393,952,6,...,12,34,38,50,2121,809,806,363,144,236,94,91,6,3,203.69,30.12,1962,942,128,35,84,794,243,469,6,300,75,832,20,57,0.1,5.4,9.8,4355,4246,181,0,0,1,13,101,1,13,70,0,0,1368,1318,50,197,441,680,1015,41,25,147,90,726,592,919,193,1,0,...,...,...,...,383,2638,622,17.3,20,2,0,0,0,3,1,1,1,1,1,2,1,80,634
332,6.0,山形県　　　,Yamagata-ken,1123891,135760,639336,344353,5503,491012,7259,15331,26268,30132,1120365,393396,392288,195520,100012,90926,42167,36953,4311,1454,9323.15,2884.8,1308505,487388,59333,11984,46808,530727,149953,375136,1184,2663410,98974,2488163,12473,78688,...,...,...,581068,557219,134398,75,7249,258,4049,54043,101,2387,29572,62,30648,583140,562087,21053,51681,159873,338284,428713,26342,12260,53185,34620,404796,150251,560192,148356,493,38,383900,294600,86300,141.51,92272,1117041,375379,15.4,11286,5493,105,18,55,934,486,2597,689,2035,100,342,261,22850,244522
333,6201.0,山形市　　　　,Yamagata-shi,253832,31869,151271,68745,1037,180878,1886,2816,7545,7780,271056,100303,100121,52114,32957,20806,10582,8958,1104,327,381.3,174.03,351509,114891,13804,2059,11705,137192,21310,115384,52,222342,11035,1032658,2866,23646,0.75,3.2,8.4,95476,93473,35700,19,2145,37,794,12866,16,494,6791,14,10311,126648,121849,4799,4229,24026,89146,97332,6613,2379,8287,4499,100206,18977,133910,31038,8,6,99410,61010,36310,112.71,8654,248047,88248,18.1,2345,1415,31,6,13,255,143,1200,206,716,15,67,52,5124,49196
334,6202.0,米沢市　　　　,Yonezawa-shi,85953,10561,50637,24322,560,45777,557,1159,1990,2460,91861,32997,32894,15261,11142,6768,2934,2976,360,142,548.51,133.29,95769,36748,4763,929,3809,45653,13886,31493,46,465596,11155,183229,968,6974,0.55,7.1,9.6,40295,38776,10451,7,625,25,297,4180,10,190,2294,6,3167,43013,41423,1590,1564,14215,24384,32746,2337,830,3014,1679,36257,4431,46230,9238,2,1,32690,21250,11280,116.33,16119,82164,26768,12.1,841,467,8,3,5,66,34,154,43,162,8,21,18,1647,16793
335,6203.0,鶴岡市　　　　,Tsuruoka-shi,129652,15347,72430,41303,518,58040,779,1889,2356,2848,130369,45339,45198,21590,11790,10570,4731,5135,473,163,1311.53,401.18,145353,56441,6855,1294,5501,59824,17873,41388,182,308695,11695,212717,1546,8603,0.42,10.3,7.9,72260,68055,14656,7,652,29,484,6173,11,278,3327,9,4423,67162,64816,2346,6095,18457,39089,49451,2790,1500,6208,4050,57109,6867,64788,6839,3,6,41170,33830,7310,155.49,6716,130468,45992,12.5,1438,658,14,0,6,110,51,228,74,206,12,50,42,3478,29761
336,6204.0,酒田市　　　　,Sakata-shi,106244,12168,59168,34518,432,58133,609,1562,2158,2377,110425,39320,39198,19843,10600,9747,4453,4538,373,145,602.97,244.23,121573,46187,5994,1044,4899,52627,14540,37558,121,247962,8592,238114,1373,8012,0.47,4.9,11.8,55312,53566,13160,3,316,23,350,4817,8,208,2774,5,2912,55106,52964,2142,4411,13316,33050,41166,2508,1067,4755,2983,45814,6665,56968,10669,1,5,37650,30900,6720,140.12,860,105708,42865,16.1,1154,565,9,2,4,101,48,267,73,202,9,36,34,2531,24077
337,6205.0,新庄市　　　　,Shinjo-shi,36894,4659,21136,11034,268,18853,216,497,1046,1203,40862,12961,12878,6213,3344,2808,1293,1214,140,45,222.85,96.34,40430,15551,2493,437,2042,20532,5918,14483,55,55241,3461,86297,510,3258,0.5,4.8,9.1,17439,16973,4521,5,282,6,119,1520,4,86,899,4,1694,19109,18433,676,1779,5083,11127,13701,849,433,1873,1190,14835,3222,21927,6716,2,1,12200,9500,2540,153.32,4718,36463,15156,15,468,310,5,1,2,29,21,83,28,73,4,17,7,673,8677
