,municipality_id,municipality,munici_English,Total population (Both sexes),Total population (0-14),Total population (15-64),Total population (65 and over),Foreigners (Total),Densely inhabited districts population,Live births,Deaths,Number of in-migrants from other municipalities,Number of out-migrants to other municipalities,Daytime population,Number of households (Total),Number of private households,Nuclear families,One-person households,No. of nuclear families with household members 65 years of age and over,No. of aged-couple households (Only aged couple),No. of aged-single-person households (Aged 65 and over),Marriages,Divorces,Total land area (Excl. the northern territories and Takeshima),Inhabitable area,Taxable income,Tax debtor (per income),Number of establishments,Number of establishments (Secondary industry),Number of establishments (Tertiary industry),Number of persons engaged,Number of persons engaged (Secondary industry),Number of persons engaged (Tertiary industry),Cultivated land area,"Value of manufactured goods shipments, etc.",Number of manufacturing employees,Annual sales of commercial goods,Number of establishments (Wholesale and retail trade),Number of employees (Wholesale and retail trade),Financial strength index (municipalities),Real term balance of revenue to expenditure (municipalities),Ratio of net cost of bonds (municipalities),Settlement of total revenue (municipalities),Settlement of total expenditure (municipalities),Local taxes (municipalities),Number of kindergartens,Number of Kindergarten students,Number of elementary schools,Number of elementary school teachers,Elementary school students,Number of lower secondary schools,Number of lower secondary school teachers,Lower secondary school students,Number of upper secondary schools,Upper secondary school students,Population in labour force,Employed persons,Unemployed persons,Persons employed in primary industry,Persons employed in secondary industry,Persons employed in tertiary industry,No. of employees,"No. of board member of company, etc.","No. of self-employed, employing others","No. of self-employed, not employing others",No. of family employees (Total),Population working in the same municipalities,Commuters to other municipality,Employed persons based on workplace,Workers commuting from other municipalities,No. of public halls,No. of libraries,Number of dwellings with occupying households,No. of owned houses,No. of rented houses,Area of floor space per dwelling,Population covered by waste processing service,Garbage planned collection population,Total volume of waste matter (Total),Rate of recycled,No. of retail stores,No. of eating and drinking places,No. of large-scale retail stores,No. of department stores and general merchandise store,General hospitals,Medical clinics,Dental clinic,Physicians,Dentists,No. of pharmacists,No. of elderly nursing facilities,No. of child welfare institutions (Excl. midwifery home and children's playground),Number of nursery centers,Number of infants enrolled in nursery centers,Persons insured by national health insurance
851,17.0,石川県　　　,Ishikawa-ken,1154008,148372,672515,317151,9308,593751,8696,12727,32817,33445,1156536,453368,452355,248310,142523,101072,53993,45787,5169,1540,4186.05,1391.81,1630809,539835,63640,14090,49119,589321,150296,434606,415,2834897,101950,4008457,12547,92104,...,...,...,532105,522143,178266,59,6752,211,4114,59784,89,2233,31422,56,32430,592646,572661,19985,17289,156786,375106,453830,28024,12048,40363,19979,386916,166063,573835,167237,315,43,439900,311400,123400,130.21,37237,1154215,414689,14.8,10994,6131,146,21,82,872,481,3405,696,2689,73,469,337,34170,245663
852,17201.0,金沢市　　　　,Kanazawa-shi,465699,59946,282984,114346,3830,387341,3813,4526,14690,14387,502567,199572,199185,104625,76931,38239,20435,19497,2429,661,468.64,192.24,716128,219481,27322,4444,22799,269251,42600,226063,36,529193,21138,2666298,5502,45948,0.83,1.6,7.9,178514,175960,80392,34,4463,58,1430,24102,29,817,12549,20,17547,234444,226800,7644,2982,46465,161077,177757,11911,4655,13385,6133,179233,33937,255288,62425,62,8,194110,111040,79920,101.56,3330,454562,173131,11,4450,3145,71,8,37,408,221,1866,341,1497,19,153,104,11557,95473
853,17202.0,七尾市　　　　,Nanao-shi,55325,6041,29571,18940,419,11455,302,824,979,1343,57559,20855,20781,10716,5881,5513,2883,2638,181,55,318.29,114.41,62186,24235,3688,722,2944,30171,6803,23048,34,64861,3571,124458,781,4255,0.43,1.2,17.2,35451,35056,7843,0,0,12,198,2423,4,103,1265,5,1972,28253,27105,1148,1592,6748,18283,20933,1237,713,2459,1329,22833,3753,29020,5668,22,4,20010,17220,2620,167.45,2684,54779,22896,22.3,675,340,4,0,6,41,31,188,35,111,5,28,22,1776,12630
854,17203.0,小松市　　　　,Komatsu-shi,106919,14691,60708,28772,1268,33617,870,1122,2860,2861,107511,38166,38087,22299,8873,9087,4809,3503,501,142,371.05,112.05,151723,52235,6007,1635,4348,56836,19925,36658,39,576997,16037,245664,1175,7892,0.71,2.2,15.6,43258,42669,15496,8,602,25,435,5938,10,233,3110,7,4566,56339,54647,1692,1146,20224,31617,43866,2761,1149,3621,2034,38342,14882,55057,15292,35,3,36530,29860,6400,151.64,3411,108579,34482,17.6,1022,570,14,3,11,72,44,214,65,202,7,40,32,3693,22130
855,17204.0,輪島市　　　　,Wajima-shi,27216,2283,13198,11715,163,8611,130,542,688,793,27317,10649,10597,5449,3056,3505,2062,1995,67,29,426.32,100.44,24427,10256,1937,518,1392,11369,3034,7897,21,16159,1188,24483,405,1619,0.23,3,13,22177,21752,2629,0,0,11,110,894,4,55,541,3,1273,12780,12322,458,1549,2876,7598,8089,507,447,1922,1194,11009,1160,12336,1174,19,3,10830,9510,1320,170.32,7462,28418,13215,14.4,447,165,2,0,1,24,13,36,18,42,4,14,12,640,8211
856,17205.0,珠洲市　　　　,Suzu-shi,14625,1157,6642,6816,65,...,60,340,151,341,14800,5861,5848,2858,1649,1989,1174,1129,37,5,247.2,60.6,13984,5881,1136,247,871,6358,1768,4415,21,10936,946,15544,268,976,0.23,1.7,12.9,11844,11671,1592,1,0,7,67,353,2,31,220,1,428,7073,6841,232,838,1801,4195,4815,339,200,939,535,6080,704,6928,791,10,1,5900,5650,250,211.4,3115,15293,4606,19.6,258,69,0,0,1,10,6,24,7,16,1,10,9,338,4051
857,17206.0,加賀市　　　　,Kaga-shi,67186,7749,36992,22262,510,14516,364,951,1412,1655,64784,24841,24770,13354,6794,6501,3322,3445,257,113,305.87,91.82,97916,31909,3959,1202,2741,32871,11468,21260,35,204698,8531,91504,710,4232,0.57,3.7,8.2,33139,32431,9342,1,39,19,267,3186,6,127,1648,4,1139,35826,34057,1769,1206,12101,20223,26345,1640,935,2869,1737,26229,7193,32691,5827,22,2,25570,19820,5320,143.83,2188,68789,26942,12.3,671,399,6,1,4,49,25,121,31,111,5,39,29,2216,16195
858,17207.0,羽咋市　　　　,Hakui-shi,21729,2272,11340,7922,67,6054,109,317,412,537,21507,8066,8045,4431,1947,2408,1363,1092,64,28,81.85,52.69,25827,9901,1272,273,984,9446,3059,6261,23,42248,2322,29201,246,1391,0.42,1.3,12.8,11837,11643,2672,0,0,6,94,892,2,40,504,3,1003,10745,10300,445,601,3260,6282,8073,500,224,875,476,6112,4041,9936,3677,11,1,7700,6820,850,171.21,2050,22437,7546,22.6,238,111,2,0,1,19,14,37,18,39,2,10,9,572,5301
859,17209.0,かほく市　　　,Kahoku-shi,34219,4681,19682,9812,227,...,283,369,951,778,30651,11604,11580,6871,2401,2961,1462,997,140,43,64.44,40.07,44129,16090,1816,698,1107,14932,6552,8296,13,113004,4373,50302,336,2143,0.43,6.8,10.1,16014,15282,4075,2,317,6,123,1802,3,78,1070,0,0,18121,17538,583,449,6503,10357,14181,951,359,1262,620,9218,8174,15237,5873,21,1,11080,9650,1380,157.81,133,35018,10001,11.4,320,113,1,1,2,21,9,41,17,41,2,15,9,1140,6947
860,17210.0,白山市　　　　,Hakusan-shi,109287,15721,65303,27915,651,41908,870,1054,3067,2690,105860,38439,38381,24470,7764,9374,4820,2944,443,131,754.93,198.17,162634,53743,5031,1378,3579,57239,23550,32804,48,573719,21051,280455,919,7129,0.65,3.7,11,51541,50314,18205,6,763,19,428,6531,10,239,3370,4,1350,59001,57053,1948,1643,18243,36160,47161,2766,984,3789,1646,30419,25824,56014,24785,28,5,36240,30830,5300,146.89,2252,112973,39510,19.4,831,363,7,2,4,67,33,150,40,204,7,44,31,3670,22813
