,time_pm,jyorei_nendo,市町村名
358,静岡県浜松市,2015.0,1
359,静岡県磐田市,2014.0,1
360,静岡県藤枝市,2015.0,1
361,静岡県静岡市,2014.0,1
362,静岡県静岡市,2015.0,1
363,香川県坂出市,2015.0,1
364,高知県香美市,2015.0,1
365,高知県高知市,2014.0,1
366,鳥取県日南町,2015.0,2
367,鹿児島県南大隅町,2014.0,1
368,三重県名張市,2016.0,1
369,三重県四日市市,2016.0,2
370,三重県鳥羽市,2017.0,1
371,京都府木津川市,2016.0,1
372,佐賀県伊万里市,2017.0,1
373,佐賀県嬉野市,2017.0,2
374,兵庫県上郡町,2017.0,1
375,兵庫県丹波市,2016.0,1
376,兵庫県加西市,2016.0,1
377,兵庫県姫路市,2016.0,1
378,兵庫県新温泉町,2017.0,1
379,兵庫県神戸市,2016.0,2
380,北海道恵庭市,2016.0,1
381,北海道旭川市,2016.0,2
382,北海道栗山町,2016.0,1
383,北海道登別市,2017.0,1
384,北海道美瑛町,2017.0,1
385,北海道苫小牧市,2016.0,1
386,北海道赤平市,2016.0,1
387,千葉県木更津市,2016.0,1
388,和歌山県和歌山市,2016.0,1
389,和歌山県新宮市,2017.0,1
390,和歌山県有田市,2016.0,1
391,和歌山県橋本市,2016.0,1
392,埼玉県さいたま市,2016.0,1
393,埼玉県坂戸市,2017.0,1
394,埼玉県小川町,2017.0,1
395,埼玉県嵐山町,2017.0,1
396,埼玉県川口市,2016.0,1
397,埼玉県川口市,2017.0,2
398,埼玉県春日部市,2017.0,1
399,埼玉県東秩父村,2017.0,1
400,埼玉県桶川市,2016.0,1
401,埼玉県横瀬町,2017.0,1
402,埼玉県熊谷市,2016.0,1
403,埼玉県熊谷市,2017.0,1
404,埼玉県秩父市,2017.0,1
405,埼玉県越谷市,2016.0,2
406,埼玉県鴻巣市,2016.0,1
407,大分県宇佐市,2016.0,1
408,大分県日出町,2016.0,1
409,大分県豊後大野市,2016.0,1
410,大阪府吹田市,2017.0,1
411,大阪府和泉市,2017.0,1
412,大阪府寝屋川市,2016.0,1
413,大阪府岸和田市,2017.0,1
414,大阪府河南町,2017.0,1
415,大阪府泉南市,2017.0,1
416,大阪府高槻市,2017.0,1
417,奈良県五條市,2017.0,1
418,奈良県桜井市,2017.0,1
419,奈良県橿原市,2017.0,1
420,奈良県香芝市,2017.0,1
421,宮城県仙台市,2016.0,1
