,ele_ID,prefecture_x,municipality_x,ymd,year,month,day,kokuji_dt,time_pm,pres_pm,nendo,kokuji_f1
287,北海道新ひだか町議会議員選挙（2006年04月23日投票）,北海道,新ひだか町,20060423.0,2006,4.0,23.0,2006-04-18,北海道新ひだか町,北海道新ひだか町,2006.0,2010-04-11
288,長野県小谷村議会議員選挙（2006年04月23日投票）,長野県,小谷村,20060423.0,2006,4.0,23.0,2006-04-18,長野県小谷村,長野県小谷村,2006.0,2010-04-27
289,鹿児島県肝付町議会議員選挙（2006年04月23日投票）,鹿児島県,肝付町,20060423.0,2006,4.0,23.0,2006-04-18,鹿児島県肝付町,鹿児島県肝付町,2006.0,2010-04-20
290,福島県伊達市議会議員選挙（2006年04月23日投票）,福島県,伊達市,20060423.0,2006,4.0,23.0,2006-04-16,福島県伊達市,福島県伊達市,2006.0,2010-04-18
291,北海道大空町議会議員選挙（2006年04月23日投票）,北海道,大空町,20060423.0,2006,4.0,23.0,2006-04-18,北海道大空町,北海道大空町,2006.0,2010-04-06
292,福岡県うきは市議会議員選挙（2006年04月23日投票）,福岡県,うきは市,20060423.0,2006,4.0,23.0,2006-04-16,福岡県うきは市,福岡県うきは市,2006.0,2010-04-18
293,福井県坂井市議会議員選挙（2006年04月23日投票）,福井県,坂井市,20060423.0,2006,4.0,23.0,2006-04-16,福井県坂井市,福井県坂井市,2006.0,2010-04-11
294,岩手県八幡平市議会議員選挙（2006年04月23日投票）,岩手県,八幡平市,20060423.0,2006,4.0,23.0,2006-04-16,岩手県八幡平市,岩手県八幡平市,2006.0,2010-04-18
295,奈良県御所市議会議員選挙（2006年04月23日投票）,奈良県,御所市,20060423.0,2006,4.0,23.0,2006-04-16,奈良県御所市,奈良県御所市,2006.0,2010-04-18
296,山口県山口市議会議員選挙（2006年04月23日投票）,山口県,山口市,20060423.0,2006,4.0,23.0,2006-04-16,山口県山口市,山口県山口市,2006.0,2010-04-18
297,福島県田村市議会議員選挙（2006年04月23日投票）,福島県,田村市,20060423.0,2006,4.0,23.0,2006-04-16,福島県田村市,福島県田村市,2006.0,2010-04-11
298,大分県臼杵市議会議員選挙（2006年04月23日投票）,大分県,臼杵市,20060423.0,2006,4.0,23.0,2006-04-16,大分県臼杵市,大分県臼杵市,2006.0,2010-04-18
299,栃木県下野市議会議員選挙（2006年04月23日投票）,栃木県,下野市,20060423.0,2006,4.0,23.0,2006-04-16,栃木県下野市,栃木県下野市,2006.0,2010-04-18
300,三重県熊野市議会議員選挙（2006年04月23日投票）,三重県,熊野市,20060423.0,2006,4.0,23.0,2006-04-16,三重県熊野市,三重県熊野市,2006.0,2010-04-18
301,山口県萩市議会議員選挙（2006年04月23日投票）,山口県,萩市,20060423.0,2006,4.0,23.0,2006-04-16,山口県萩市,山口県萩市,2006.0,2010-04-18
302,大阪府河内長野市議会議員選挙（2006年04月23日投票）,大阪府,河内長野市,20060423.0,2006,4.0,23.0,2006-04-16,大阪府河内長野市,大阪府河内長野市,2006.0,2010-04-18
303,福井県南越前町議会議員選挙（2006年04月23日投票）,福井県,南越前町,20060423.0,2006,4.0,23.0,2006-04-18,福井県南越前町,福井県南越前町,2006.0,2010-04-13
304,北海道むかわ町議会議員選挙（2006年04月23日投票）,北海道,むかわ町,20060423.0,2006,4.0,23.0,2006-04-18,北海道むかわ町,北海道むかわ町,2006.0,2010-04-06
305,香川県小豆島町議会議員選挙（2006年04月23日投票）,香川県,小豆島町,20060423.0,2006,4.0,23.0,2006-04-18,香川県小豆島町,香川県小豆島町,2006.0,2010-04-13
306,秋田県能代市議会議員選挙（2006年04月23日投票）,秋田県,能代市,20060423.0,2006,4.0,23.0,2006-04-16,秋田県能代市,秋田県能代市,2006.0,2010-04-11
307,兵庫県たつの市議会議員選挙（2006年04月23日投票）,兵庫県,たつの市,20060423.0,2006,4.0,23.0,2006-04-16,兵庫県たつの市,兵庫県たつの市,2006.0,2010-04-18
308,千葉県南房総市議会議員選挙（2006年04月23日投票）,千葉県,南房総市,20060423.0,2006,4.0,23.0,2006-04-16,千葉県南房総市,千葉県南房総市,2006.0,2010-04-04
309,宮城県気仙沼市議会議員選挙（2006年04月30日投票）,宮城県,気仙沼市,20060430.0,2006,4.0,30.0,2006-04-23,宮城県気仙沼市,宮城県気仙沼市,2006.0,2010-04-18
310,和歌山県上富田町議会議員選挙（2006年04月30日投票）,和歌山県,上富田町,20060430.0,2006,4.0,30.0,2006-04-25,和歌山県上富田町,和歌山県上富田町,2006.0,2010-04-20
311,愛媛県松山市議会議員選挙（2006年04月30日投票）,愛媛県,松山市,20060430.0,2006,4.0,30.0,2006-04-23,愛媛県松山市,愛媛県松山市,2006.0,2010-04-18
312,宮城県大崎市議会議員選挙（2006年04月30日投票）,宮城県,大崎市,20060430.0,2006,4.0,30.0,2006-04-23,宮城県大崎市,宮城県大崎市,2006.0,2010-04-11
313,長野県伊那市議会議員選挙（2006年04月30日投票）,長野県,伊那市,20060430.0,2006,4.0,30.0,2006-04-23,長野県伊那市,長野県伊那市,2006.0,2010-04-18
314,岡山県矢掛町議会議員選挙（2006年04月30日投票）,岡山県,矢掛町,20060430.0,2006,4.0,30.0,2006-04-25,岡山県矢掛町,岡山県矢掛町,2006.0,2010-04-20
315,長崎県南島原市議会議員選挙（2006年05月14日投票）,長崎県,南島原市,20060514.0,2006,5.0,14.0,2006-05-07,長崎県南島原市,長崎県南島原市,2006.0,2010-04-18
316,徳島県美波町議会議員選挙（2006年05月14日投票）,徳島県,美波町,20060514.0,2006,5.0,14.0,2006-05-09,徳島県美波町,徳島県美波町,2006.0,2010-04-20
317,大阪府泉佐野市議会議員選挙（2006年05月14日投票）,大阪府,泉佐野市,20060514.0,2006,5.0,14.0,2006-05-07,大阪府泉佐野市,大阪府泉佐野市,2006.0,2010-05-09
318,徳島県海陽町議会議員選挙（2006年05月14日投票）,徳島県,海陽町,20060514.0,2006,5.0,14.0,2006-05-09,徳島県海陽町,徳島県海陽町,2006.0,2010-04-20
319,千葉県鴨川市議会議員選挙（2006年05月21日投票）,千葉県,鴨川市,20060521.0,2006,5.0,21.0,2006-05-14,千葉県鴨川市,千葉県鴨川市,2006.0,2010-05-16
320,熊本県菊池市議会議員選挙（2006年05月21日投票）,熊本県,菊池市,20060521.0,2006,5.0,21.0,2006-05-14,熊本県菊池市,熊本県菊池市,2006.0,2010-05-16
321,岡山県備前市議会議員選挙（2006年05月21日投票）,岡山県,備前市,20060521.0,2006,5.0,21.0,2006-05-14,岡山県備前市,岡山県備前市,2006.0,2010-05-16
322,宮城県石巻市議会議員選挙（2006年05月28日投票）,宮城県,石巻市,20060528.0,2006,5.0,28.0,2006-05-21,宮城県石巻市,宮城県石巻市,2006.0,2010-05-16
323,島根県江津市議会議員選挙（2006年05月28日投票）,島根県,江津市,20060528.0,2006,5.0,28.0,2006-05-21,島根県江津市,島根県江津市,2006.0,2010-05-23
324,千葉県野田市議会議員選挙（2006年05月28日投票）,千葉県,野田市,20060528.0,2006,5.0,28.0,2006-05-21,千葉県野田市,千葉県野田市,2006.0,2010-05-16
325,福島県二本松市議会議員選挙（2006年06月04日投票）,福島県,二本松市,20060604.0,2006,6.0,4.0,2006-05-28,福島県二本松市,福島県二本松市,2006.0,2010-05-28
326,東京都立川市議会議員選挙（2006年06月18日投票）,東京都,立川市,20060618.0,2006,6.0,18.0,2006-06-11,東京都立川市,東京都立川市,2006.0,2010-06-13
327,沖縄県南大東村議会議員選挙（2006年06月18日投票）,沖縄県,南大東村,20060618.0,2006,6.0,18.0,2006-06-13,沖縄県南大東村,沖縄県南大東村,2006.0,2010-06-15
328,山形県庄内町議会議員選挙（2006年06月25日投票）,山形県,庄内町,20060625.0,2006,6.0,25.0,2006-06-20,山形県庄内町,山形県庄内町,2006.0,2010-06-15
329,石川県中能登町議会議員選挙（2006年06月25日投票）,石川県,中能登町,20060625.0,2006,6.0,25.0,2006-06-20,石川県中能登町,石川県中能登町,2006.0,2010-06-15
330,鳥取県米子市議会議員選挙（2006年06月25日投票）,鳥取県,米子市,20060625.0,2006,6.0,25.0,2006-06-18,鳥取県米子市,鳥取県米子市,2006.0,2010-06-06
331,秋田県三種町議会議員選挙（2006年06月25日投票）,秋田県,三種町,20060625.0,2006,6.0,25.0,2006-06-20,秋田県三種町,秋田県三種町,2006.0,2010-05-11
332,京都府宮津市議会議員選挙（2006年07月02日投票）,京都府,宮津市,20060702.0,2006,7.0,2.0,2006-06-25,京都府宮津市,京都府宮津市,2006.0,2010-06-13
333,鳥取県岩美町議会議員選挙（2006年07月09日投票）,鳥取県,岩美町,20060709.0,2006,7.0,9.0,2006-07-04,鳥取県岩美町,鳥取県岩美町,2006.0,2010-07-06
334,兵庫県加古川市議会議員選挙（2006年07月09日投票）,兵庫県,加古川市,20060709.0,2006,7.0,9.0,2006-07-02,兵庫県加古川市,兵庫県加古川市,2006.0,2010-06-06
335,福井県越前市議会議員選挙（2006年07月09日投票）,福井県,越前市,20060709.0,2006,7.0,9.0,2006-07-02,福井県越前市,福井県越前市,2006.0,2010-07-04
336,青森県藤崎町議会議員選挙（2006年07月09日投票）,青森県,藤崎町,20060709.0,2006,7.0,9.0,2006-07-04,青森県藤崎町,青森県藤崎町,2006.0,2010-07-20
337,福岡県添田町議会議員選挙（2006年07月16日投票）,福岡県,添田町,20060716.0,2006,7.0,16.0,2006-07-11,福岡県添田町,福岡県添田町,2006.0,2010-06-22
338,三重県多気町議会議員選挙（2006年07月16日投票）,三重県,多気町,20060716.0,2006,7.0,16.0,2006-07-11,三重県多気町,三重県多気町,2006.0,2010-07-06
339,高知県本山町議会議員選挙（2006年07月16日投票）,高知県,本山町,20060716.0,2006,7.0,16.0,2006-07-11,高知県本山町,高知県本山町,2006.0,2010-07-13
340,福井県永平寺町議会議員選挙（2006年07月23日投票）,福井県,永平寺町,20060723.0,2006,7.0,23.0,2006-07-18,福井県永平寺町,福井県永平寺町,2006.0,2010-07-06
341,岩手県花巻市議会議員選挙（2006年07月23日投票）,岩手県,花巻市,20060723.0,2006,7.0,23.0,2006-07-16,岩手県花巻市,岩手県花巻市,2006.0,2010-07-18
342,北海道紋別市議会議員選挙（2006年07月23日投票）,北海道,紋別市,20060723.0,2006,7.0,23.0,2006-07-16,北海道紋別市,北海道紋別市,2006.0,2010-07-25
343,和歌山県かつらぎ町議会議員選挙（2006年07月23日投票）,和歌山県,かつらぎ町,20060723.0,2006,7.0,23.0,2006-07-18,和歌山県かつらぎ町,和歌山県かつらぎ町,2006.0,2010-07-20
344,北海道本別町議会議員選挙（2006年07月29日投票）,北海道,本別町,20060729.0,2006,7.0,29.0,2006-07-24,北海道本別町,北海道本別町,2006.0,2010-07-19
345,愛知県知立市議会議員選挙（2006年07月30日投票）,愛知県,知立市,20060730.0,2006,7.0,30.0,2006-07-23,愛知県知立市,愛知県知立市,2006.0,2010-08-01
346,滋賀県長浜市議会議員選挙（2006年07月30日投票）,滋賀県,長浜市,20060730.0,2006,7.0,30.0,2006-07-23,滋賀県長浜市,滋賀県長浜市,2006.0,2010-07-18
347,長野県中川村議会議員選挙（2006年08月06日投票）,長野県,中川村,20060806.0,2006,8.0,6.0,2006-08-01,長野県中川村,長野県中川村,2006.0,2010-08-03
348,高知県芸西村議会議員選挙（2006年08月06日投票）,高知県,芸西村,20060806.0,2006,8.0,6.0,2006-08-01,高知県芸西村,高知県芸西村,2006.0,2010-08-03
349,富山県朝日町議会議員選挙（2006年08月06日投票）,富山県,朝日町,20060806.0,2006,8.0,6.0,2006-08-01,富山県朝日町,富山県朝日町,2006.0,2010-08-03
350,富山県小矢部市議会議員選挙（2006年08月06日投票）,富山県,小矢部市,20060806.0,2006,8.0,6.0,2006-07-30,富山県小矢部市,富山県小矢部市,2006.0,2010-08-01
351,茨城県常陸大宮市議会議員選挙（2006年08月06日投票）,茨城県,常陸大宮市,20060806.0,2006,8.0,6.0,2006-07-30,茨城県常陸大宮市,茨城県常陸大宮市,2006.0,2010-07-04
352,茨城県常陸太田市議会議員選挙（2006年08月06日投票）,茨城県,常陸太田市,20060806.0,2006,8.0,6.0,2006-07-30,茨城県常陸太田市,茨城県常陸太田市,2006.0,2010-07-04
353,高知県越知町議会議員選挙（2006年08月06日投票）,高知県,越知町,20060806.0,2006,8.0,6.0,2006-08-01,高知県越知町,高知県越知町,2006.0,2010-08-03
354,三重県名張市議会議員選挙（2006年08月27日投票）,三重県,名張市,20060827.0,2006,8.0,27.0,2006-08-20,三重県名張市,三重県名張市,2006.0,2010-08-22
