,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_NHKから国民を守る党,得票数_たちあがれ日本,得票数_みんなの党,得票数_公明党,得票数_地域政党きずな庄原,得票数_希望の党,得票数_幸福実現党,得票数_新社会党,得票数_新社民,得票数_日本共産党,得票数_日本維新の会,得票数_次世代の党,得票数_民主党,得票数_民進党,得票数_無所属,得票数_社会民主党,得票数_社民党,得票数_福山維新の会,得票数_立憲民主党,得票数_維新の党,得票数_自由民主党,得票数_sum_v,得票率_NHKから国民を守る党,得票率_たちあがれ日本,得票率_みんなの党,得票率_公明党,得票率_地域政党きずな庄原,得票率_希望の党,得票率_幸福実現党,得票率_新社会党,得票率_新社民,得票率_日本共産党,得票率_日本維新の会,得票率_次世代の党,得票率_民主党,得票率_民進党,得票率_無所属,得票率_社会民主党,得票率_社民党,得票率_福山維新の会,得票率_立憲民主党,得票率_維新の党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_NHKから国民を守る党,一人あたり得票率_たちあがれ日本,一人あたり得票率_みんなの党,一人あたり得票率_公明党,一人あたり得票率_地域政党きずな庄原,一人あたり得票率_希望の党,一人あたり得票率_幸福実現党,一人あたり得票率_新社会党,一人あたり得票率_新社民,一人あたり得票率_日本共産党,一人あたり得票率_日本維新の会,一人あたり得票率_次世代の党,一人あたり得票率_民主党,一人あたり得票率_民進党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_社民党,一人あたり得票率_福山維新の会,一人あたり得票率_立憲民主党,一人あたり得票率_維新の党,一人あたり得票率_自由民主党,立候補者数_NHKから国民を守る党,立候補者数_たちあがれ日本,立候補者数_みんなの党,立候補者数_公明党,立候補者数_地域政党きずな庄原,立候補者数_希望の党,立候補者数_幸福実現党,立候補者数_新社会党,立候補者数_新社民,立候補者数_日本共産党,立候補者数_日本維新の会,立候補者数_次世代の党,立候補者数_民主党,立候補者数_民進党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_社民党,立候補者数_福山維新の会,立候補者数_立憲民主党,立候補者数_維新の党,立候補者数_自由民主党,当選者数_NHKから国民を守る党,当選者数_たちあがれ日本,当選者数_みんなの党,当選者数_公明党,当選者数_地域政党きずな庄原,当選者数_希望の党,当選者数_幸福実現党,当選者数_新社会党,当選者数_新社民,当選者数_日本共産党,当選者数_日本維新の会,当選者数_次世代の党,当選者数_民主党,当選者数_民進党,当選者数_無所属,当選者数_社会民主党,当選者数_社民党,当選者数_福山維新の会,当選者数_立憲民主党,当選者数_維新の党,当選者数_自由民主党
三次市議会議員選挙（2004年04月18日投票）,三次市議会議員選挙,広島県,三次市,20040418.0,2004.0,4.0,18.0,20040411.0,78.34,0.0,52.0,,49019.0,,,,任期満了,,,,,三次市議会議員選挙（2004年04月18日投票）,8.0,52.0,38.0,1.368421052631579,0.38461538461538464,0.125,0.125,0.057692307692307696,0.07894736842105263,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.03125,,15746.0,5.0,57.82692307692308,8.259542625272795,28.0,53.75,59.0,64.0,73.0,57.026315789473685,8.76742428150115,28.0,52.25,56.5,64.0,73.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,5.0,,,2.0,,42.0,1.0,,,,,,,,,2.0,,,,,,2.0,,,1.0,,32.0,1.0,,,,,
三次市議会議員選挙（2008年04月06日投票）,三次市議会議員選挙,広島県,三次市,20080406.0,2008.0,4.0,6.0,20080330.0,79.82,26.0,33.0,1.2692307692307692,47879.0,,,-1140.0,その他,78.34,,,,三次市議会議員選挙（2008年04月06日投票）,1.0,33.0,26.0,1.2692307692307692,0.0,0.0,0.0,0.06060606060606061,0.07692307692307693,0.8484848484848485,0.15151515151515152,0.0,0.8846153846153846,0.11538461538461539,0.0,0.8636330040354466,0.13636699596455334,,0.030844035858408808,0.02727339919291067,,37747.99,4.0,58.24242424242424,9.547426443749448,32.0,53.0,59.0,64.0,74.0,58.69230769230769,9.804901563736182,32.0,54.0,59.5,64.75,74.0,,,,2889.0,,,,,,1157.0,,,1124.0,,32577.99,,,,,,,37747.990000000005,,,,0.07653387637328503,,,,,,0.030650638616784624,,,0.029776419883548764,,0.8630390651263815,,,,,,,1.0,,,,0.038266938186642514,,,,,,0.030650638616784624,,,0.029776419883548764,,0.02975996776297867,,,,,,,,,,2.0,,,,,,1.0,,,1.0,,29.0,,,,,,,,,,2.0,,,,,,1.0,,,1.0,,22.0,,,,,,
三次市議会議員選挙（2012年04月15日投票）,三次市議会議員選挙,広島県,三次市,20120415.0,2012.0,4.0,15.0,20120408.0,72.51,26.0,28.0,1.0769230769230769,46224.0,,,-1655.0,任期満了,79.82,,,,三次市議会議員選挙（2012年04月15日投票）,1.0,28.0,26.0,1.0769230769230769,0.0,0.0,0.0,0.10714285714285714,0.11538461538461539,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,0.03571428571428571,,,33296.0,4.0,57.5,10.044543650303737,28.0,54.0,59.5,64.0,74.0,57.61538461538461,10.35551478153223,28.0,54.25,59.5,64.0,74.0,,,,2438.0,,,,,,909.0,,,977.0,,28972.0,,,,,,,33296.0,,,,0.07322200864968766,,,,,,0.027300576645843344,,,0.02934286400768861,,0.8701345506967804,,,,,,,1.0,,,,0.03661100432484383,,,,,,0.027300576645843344,,,0.02934286400768861,,0.036255606279032515,,,,,,,,,,2.0,,,,,,1.0,,,1.0,,24.0,,,,,,,,,,2.0,,,,,,1.0,,,1.0,,22.0,,,,,,
三次市議会議員選挙（2016年04月03日投票）,三次市議会議員選挙,広島県,三次市,20160403.0,2016.0,4.0,3.0,20160327.0,67.83,24.0,27.0,1.125,44383.0,,,-1841.0,任期満了,72.51,,,,三次市議会議員選挙（2016年04月03日投票）,1.0,27.0,24.0,1.125,0.0,0.0,0.0,0.1111111111111111,0.125,0.7037037037037037,0.2962962962962963,0.0,0.75,0.25,0.0,0.7537570706563578,0.24624292934364225,,0.03967142477138725,0.03078036616795528,,29877.0,0.0,58.7037037037037,9.248883074968065,32.0,56.5,61.0,65.5,69.0,59.125,7.7798484346847445,40.0,56.75,60.5,64.25,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三次市議会議員選挙（2020年04月12日投票）,三次市議会議員選挙,広島県,三次市,20200412.0,2020.0,4.0,12.0,20200405.0,53.09,24.0,26.0,1.0833333333333333,,,,,任期満了,67.83,,,,三次市議会議員選挙（2020年04月12日投票）,1.0,26.0,24.0,1.0833333333333333,0.0,0.0,0.0,0.11538461538461539,0.125,0.7307692307692307,0.23076923076923078,0.038461538461538464,0.7083333333333334,0.25,0.041666666666666664,0.6972777090330564,0.2761180837899947,0.02660420717694891,0.036698826791213494,0.04601968063166578,0.02660420717694891,22628.0,4.0,57.19230769230769,10.788238719761267,29.0,47.5,61.5,64.75,73.0,56.916666666666664,11.176301813311156,29.0,45.5,61.5,65.0,73.0,,,,2038.0,,,,,,684.0,,,,,18869.0,,,,1037.0,,,22628.0,,,,0.09006540569206294,,,,,,0.030228036061516705,,,,,0.8338783807671911,,,,0.04582817747922927,,,1.0,,,,0.04503270284603147,,,,,,0.030228036061516705,,,,,0.03790356276214505,,,,0.04582817747922927,,,,,,2.0,,,,,,1.0,,,,,22.0,,,,1.0,,,,,,2.0,,,,,,1.0,,,,,20.0,,,,1.0,,
世羅町議会議員選挙（2008年10月26日投票）,世羅町議会議員選挙,広島県,世羅町,20081026.0,2008.0,10.0,26.0,20081021.0,75.93,16.0,17.0,1.0625,15485.0,,,,任期満了,,,,,世羅町議会議員選挙（2008年10月26日投票）,1.0,17.0,16.0,1.0625,0.0,0.0,0.0,0.0,0.0,0.7647058823529411,0.23529411764705882,0.0,0.8125,0.1875,0.0,0.7727894782085447,0.22721052179145534,,0.05944534447758036,0.056802630447863836,,11633.0,3.0,60.588235294117645,7.284623802547163,45.0,59.0,61.0,66.0,71.0,61.375,6.771955035290769,45.0,59.0,62.5,66.25,71.0,,,,942.0,,,,,,1126.0,,,,,9565.0,,,,,,,11633.0,,,,0.08097653227886185,,,,,,0.09679360440127224,,,,,0.8222298633198659,,,,,,,1.0,,,,0.08097653227886185,,,,,,0.04839680220063612,,,,,0.058730704522847565,,,,,,,,,,1.0,,,,,,2.0,,,,,14.0,,,,,,,,,,1.0,,,,,,2.0,,,,,13.0,,,,,,
世羅町議会議員選挙（2012年10月21日投票）,世羅町議会議員選挙,広島県,世羅町,20121021.0,2012.0,10.0,21.0,20121016.0,75.65,14.0,15.0,1.0714285714285714,14862.0,,,-623.0,任期満了,75.93,,,,世羅町議会議員選挙（2012年10月21日投票）,1.0,15.0,14.0,1.0714285714285714,0.0,0.0,0.0,0.06666666666666667,0.07142857142857142,0.6,0.4,0.0,0.5714285714285714,0.42857142857142855,0.0,0.558347645304167,0.44165235469583297,,0.06203862725601856,0.07360872578263883,,11063.0,3.0,63.2,5.3814496188294845,52.0,60.0,64.0,68.5,70.0,63.214285714285715,5.570054775680544,52.0,59.0,64.0,68.75,70.0,,,,879.0,,,,,,542.0,,,,,9642.0,,,,,,,11063.0,,,,0.0794540359757751,,,,,,0.048992135948657686,,,,,0.8715538280755672,,,,,,,1.0,,,,0.0794540359757751,,,,,,0.048992135948657686,,,,,0.06704260215965901,,,,,,,,,,1.0,,,,,,1.0,,,,,13.0,,,,,,,,,,1.0,,,,,,1.0,,,,,12.0,,,,,,
世羅町議会議員選挙（2016年10月23日投票）,世羅町議会議員選挙,広島県,世羅町,20161023.0,2016.0,10.0,23.0,20161018.0,71.12,14.0,15.0,1.0714285714285714,14352.0,,,-510.0,任期満了,75.65,,,,世羅町議会議員選挙（2016年10月23日投票）,1.0,15.0,14.0,1.0714285714285714,0.0,0.0,0.0,0.06666666666666667,0.07142857142857142,0.5333333333333333,0.4,0.06666666666666667,0.5714285714285714,0.42857142857142855,0.0,0.5241903238704518,0.45101959216313475,0.024790083966413436,0.06552379048380648,0.07516993202718912,0.024790083966413436,10004.0,0.0,63.8,9.509293699674371,41.0,60.0,67.0,71.0,74.0,63.57142857142857,9.803164836741578,41.0,59.5,66.5,72.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
世羅町議会議員選挙（2020年10月25日投票）,世羅町議会議員選挙,広島県,世羅町,20201025.0,2020.0,10.0,25.0,20201020.0,65.08,12.0,16.0,1.3333333333333333,,,,,任期満了,71.12,,,,世羅町議会議員選挙（2020年10月25日投票）,1.0,16.0,12.0,1.3333333333333333,0.0,0.0,0.0,0.125,0.16666666666666666,0.6875,0.3125,0.0,0.5833333333333334,0.4166666666666667,0.0,0.5857357878893135,0.4142642121106866,,0.05324870798993759,0.08285284242213732,,8637.0,3.0,62.875,10.652904533506343,44.0,57.0,63.5,71.25,78.0,61.166666666666664,11.14176327557218,44.0,50.75,63.0,68.75,78.0,,,,754.0,,,,,,520.0,,,,,7363.0,,,,,,,8637.0,,,,0.08729883061248118,,,,,,0.06020609007757323,,,,,0.8524950793099456,,,,,,,1.0,,,,0.08729883061248118,,,,,,0.06020609007757323,,,,,0.06089250566499611,,,,,,,,,,1.0,,,,,,1.0,,,,,14.0,,,,,,,,,,1.0,,,,,,1.0,,,,,10.0,,,,,,
北広島町議会議員選挙（2005年03月13日投票）,北広島町議会議員選挙,広島県,北広島町,20050313.0,2005.0,3.0,13.0,20050307.0,100.0,26.0,30.0,1.1538461538461535,17099.0,,,,その他,,,,,北広島町議会議員選挙（2005年03月13日投票）,1.0,30.0,26.0,1.1538461538461537,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.03333333333333333,,14565.0,3.0,59.766666666666666,6.385835018921871,45.0,56.0,59.5,64.75,71.0,59.0,6.318471090626032,45.0,56.0,59.0,63.75,69.0,,,,,,,,307.0,,,,,,,13577.0,681.0,,,,,,14565.0,,,,,,,,0.02107792653621696,,,,,,,0.932166151733608,0.04675592173017508,,,,,,1.0,,,,,,,,0.02107792653621696,,,,,,,0.033291648276200285,0.04675592173017508,,,,,,,,,,,,,1.0,,,,,,,28.0,1.0,,,,,,,,,,,,,0.0,,,,,,,25.0,1.0,,,,,
