,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_公明党,得票数_国民民主党,得票数_幸福実現党,得票数_新社会党,得票数_日本共産党,得票数_日本維新の会,得票数_次世代の為の自由福祉党,得票数_民主党,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_維新の党,得票数_維新政党・新風,得票数_自由民主党,得票数_sum_v,得票率_公明党,得票率_国民民主党,得票率_幸福実現党,得票率_新社会党,得票率_日本共産党,得票率_日本維新の会,得票率_次世代の為の自由福祉党,得票率_民主党,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_維新の党,得票率_維新政党・新風,得票率_自由民主党,得票率_sum_v,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_幸福実現党,一人あたり得票率_新社会党,一人あたり得票率_日本共産党,一人あたり得票率_日本維新の会,一人あたり得票率_次世代の為の自由福祉党,一人あたり得票率_民主党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_維新の党,一人あたり得票率_維新政党・新風,一人あたり得票率_自由民主党,立候補者数_公明党,立候補者数_国民民主党,立候補者数_幸福実現党,立候補者数_新社会党,立候補者数_日本共産党,立候補者数_日本維新の会,立候補者数_次世代の為の自由福祉党,立候補者数_民主党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_維新の党,立候補者数_維新政党・新風,立候補者数_自由民主党,当選者数_公明党,当選者数_国民民主党,当選者数_幸福実現党,当選者数_新社会党,当選者数_日本共産党,当選者数_日本維新の会,当選者数_次世代の為の自由福祉党,当選者数_民主党,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_維新の党,当選者数_維新政党・新風,当選者数_自由民主党
宇部市議会議員選挙（2019年04月21日投票）,宇部市議会議員選挙,山口県,宇部市,20190421.0,2019.0,4.0,21.0,20190414.0,41.0,28.0,30.0,1.0714285714285714,137064.0,,,,任期満了,46.58,,,,宇部市議会議員選挙（2019年04月21日投票）,1.0,30.0,28.0,1.0714285714285714,0.0,0.0,0.0,0.13333333333333333,0.14285714285714285,,,,,,,,,,,,,55445.999,5.0,58.56666666666667,10.553619705527051,32.0,53.0,61.5,66.5,72.0,58.32142857142857,10.549385802800396,32.0,54.5,61.5,65.5,72.0,8393.0,,,,6017.0,,,,33717.998999999996,1515.0,,,,5803.0,55445.998999999996,0.15137250931307056,,,,0.108520003400065,,,,0.6081232119201243,0.027323883189479554,,,,0.10466039217726063,1.0,0.03784312732826764,,,,0.02713000085001625,,,,0.03200648483790128,0.027323883189479554,,,,0.052330196088630314,4.0,,,,4.0,,,,19.0,1.0,,,,2.0,4.0,,,,4.0,,,,17.0,1.0,,,,2.0
山口市議会議員選挙（2006年04月23日投票）,山口市議会議員選挙,山口県,山口市,20060423.0,2006.0,4.0,23.0,20060416.0,60.04,34.0,53.0,1.5588235294117647,146820.0,,,,任期満了,,,,,山口市議会議員選挙（2006年04月23日投票）,1.0,53.0,34.0,1.5588235294117647,0.0,0.0,0.0,0.07547169811320754,0.08823529411764706,0.8113207547169812,0.16981132075471697,0.018867924528301886,0.8529411764705882,0.11764705882352941,0.029411764705882353,0.8491385216691574,0.13226163926888146,0.01859983906196114,0.01974740748067808,0.014695737696542385,0.01859983906196114,86990.0,6.0,57.24528301886792,10.520251199342097,34.0,50.0,58.0,66.0,77.0,55.3235294117647,10.573887337474591,34.0,48.5,58.0,62.0,72.0,8603.0,,,,5847.0,,,1666.0,63061.44,2549.0,,,,5263.5599999999995,86990.0,0.09889642487642258,,,,0.0672146223703874,,,0.019151626623749855,0.7249274629267732,0.02930221864582136,,,,0.06050764455684561,1.0,0.03296547495880753,,,,0.022404874123462468,,,0.019151626623749855,0.017260177688732697,0.02930221864582136,,,,0.02016921485228187,3.0,,,,3.0,,,1.0,42.0,1.0,,,,3.0,3.0,,,,3.0,,,1.0,24.0,1.0,,,,2.0
山口市議会議員選挙（2010年04月25日投票）,山口市議会議員選挙,山口県,山口市,20100425.0,2010.0,4.0,25.0,20100418.0,55.98,34.0,49.0,1.4411764705882353,154938.0,,,8118.0,任期満了,60.04,,,,山口市議会議員選挙（2010年04月25日投票）,1.0,49.0,34.0,1.4411764705882353,0.0,0.0,0.0,0.061224489795918366,0.08823529411764706,0.6122448979591837,0.2653061224489796,0.12244897959183673,0.7352941176470589,0.17647058823529413,0.08823529411764706,0.6596410943919226,0.23820392896415665,0.10215497664392081,0.021988036479730754,0.018323379151088972,0.017025829440653468,85509.00099999999,6.0,55.87755102040816,11.809080997372275,34.0,46.0,58.0,65.0,76.0,56.411764705882355,10.854973506507955,38.0,48.25,57.0,63.75,76.0,8861.52,,,,6477.23,,,5323.77,60927.651,2146.0,,,,1772.83,85509.001,0.10363259886523525,,,,0.07574910154780079,,,0.06225976140219437,0.7125290938669719,0.02509677314555458,,,,0.020732671172243023,1.0,0.025908149716308813,,,,0.018937275386950198,,,0.020753253800731456,0.01979247482963811,0.02509677314555458,,,,0.020732671172243023,4.0,,,,4.0,,,3.0,36.0,1.0,,,,1.0,4.0,,,,2.0,,,1.0,25.0,1.0,,,,1.0
山口市議会議員選挙（2014年04月27日投票）,山口市議会議員選挙,山口県,山口市,20140427.0,2014.0,4.0,27.0,20140420.0,49.34,34.0,45.0,1.3235294117647058,,,,,任期満了,55.98,,,,山口市議会議員選挙（2014年04月27日投票）,1.0,45.0,34.0,1.3235294117647058,0.0,0.0,0.0,0.06666666666666667,0.058823529411764705,0.4888888888888889,0.4888888888888889,0.022222222222222223,0.6176470588235294,0.35294117647058826,0.029411764705882353,0.5519931007170543,0.42276108309600596,0.025245816186939683,0.025090595487138833,0.01921641286800027,0.025245816186939683,75259.995,6.0,54.022222222222226,10.880132533688055,25.0,46.0,55.0,62.0,72.0,53.64705882352941,8.960312340082455,38.0,46.0,53.5,60.0,70.0,7432.515,,,,4689.0,,,1973.0,50328.04,2257.0,,,,8580.44,75259.995,0.09875784605088003,,,,0.062304016895031684,,,0.02621578701938527,0.6687223404678675,0.029989372175748884,,,,0.11401063739108674,1.0,0.024689461512720008,,,,0.020768005631677227,,,0.02621578701938527,0.02089757313962086,0.029989372175748884,,,,0.028502659347771686,4.0,,,,3.0,,,1.0,32.0,1.0,,,,4.0,4.0,,,,3.0,,,1.0,21.0,1.0,,,,4.0
山口市議会議員選挙（2018年04月22日投票）,山口市議会議員選挙,山口県,山口市,20180422.0,2018.0,4.0,22.0,20180415.0,43.41,34.0,38.0,1.1176470588235294,,,,,任期満了,49.34,,,,山口市議会議員選挙（2018年04月22日投票）,1.0,38.0,34.0,1.1176470588235294,0.0,0.0,0.0,0.07894736842105263,0.058823529411764705,0.7105263157894737,0.23684210526315788,0.05263157894736842,0.7941176470588235,0.14705882352941177,0.058823529411764705,0.7970809620442172,0.15585354954783523,0.04706548840794755,0.029521517112748783,0.01731706106087058,0.023532744203973777,67097.997,5.0,56.28947368421053,9.547410491406177,31.0,50.25,58.0,62.75,73.0,56.05882352941177,9.707308273153512,31.0,50.25,57.0,62.5,73.0,8202.629,,,,4955.0,1325.0,,,38456.994,,,,,14158.374,67097.997,0.12224849275306982,,,,0.07384721186237496,0.019747236269958997,,,0.5731466767927513,,,,,0.21101038232184485,1.0,0.030562123188267454,,,,0.02461573728745832,0.019747236269958997,,,0.023881111533031307,,,,,0.03516839705364081,4.0,,,,3.0,1.0,,,24.0,,,,,6.0,4.0,,,,3.0,1.0,,,20.0,,,,,6.0
山陽小野田市議会議員選挙（2005年10月10日投票）,山陽小野田市議会議員選挙,山口県,山陽小野田市,20051010.0,2005.0,10.0,10.0,20051003.0,71.22,27.0,37.0,1.3703703703703705,54198.0,,,,解散,,,,,山陽小野田市議会議員選挙（2005年10月10日投票）,1.0,37.0,27.0,1.3703703703703705,0.0,0.0,0.0,0.10810810810810811,0.14814814814814814,0.05405405405405406,0.16216216216216217,0.3783783783783784,0.0,0.14814814814814814,0.48148148148148145,0.018212320543130708,0.15682065816968016,0.42891901623071527,0.009106160271565354,0.02613677636161336,0.030637072587908234,38160.979999999996,3.0,56.91891891891892,9.1071055667669,33.0,52.0,57.0,64.0,76.0,56.2962962962963,8.514975108442401,40.0,50.5,55.0,63.5,76.0,2849.0,,,,3586.0,,,,31725.98,,,,,,38160.979999999996,0.07465741183795595,,,,0.09397033304700247,,,,0.8313722551150416,,,,,,1.0,0.037328705918977974,,,,0.03132344434900083,,,,0.02598038297234505,,,,,,2.0,,,,3.0,,,,32.0,,,,,,2.0,,,,2.0,,,,23.0,,,,,
山陽小野田市議会議員選挙（2009年10月04日投票）,山陽小野田市議会議員選挙,山口県,山陽小野田市,20091004.0,2009.0,10.0,4.0,20090927.0,60.65,24.0,26.0,1.0833333333333333,53586.0,,,-612.0,任期満了,71.22,,,,山陽小野田市議会議員選挙（2009年10月04日投票）,1.0,26.0,24.0,1.0833333333333333,0.0,0.0,0.0,0.11538461538461539,0.125,0.6923076923076923,0.23076923076923078,0.07692307692307693,0.6666666666666666,0.25,0.08333333333333333,0.6814989681277887,0.23317762225672334,0.08532340961548807,0.03786105378487715,0.038862937042787225,0.04266170480774403,32159.989999999998,3.0,58.76923076923077,7.657614070612195,37.0,54.0,59.5,63.5,70.0,58.291666666666664,7.748543769996758,37.0,52.75,58.5,62.5,70.0,2417.0,,,,3500.0,,,,26242.989999999998,,,,,,32159.989999999998,0.0751554960060622,,,,0.10883087961159192,,,,0.8160136243823459,,,,,,1.0,0.0751554960060622,,,,0.03627695987053064,,,,0.037091528381015725,,,,,,1.0,,,,3.0,,,,22.0,,,,,,1.0,,,,3.0,,,,20.0,,,,,
山陽小野田市議会議員選挙（2013年10月06日投票）,山陽小野田市議会議員選挙,山口県,山陽小野田市,20131006.0,2013.0,10.0,6.0,20130929.0,55.11,22.0,27.0,1.2272727272727273,,,,,任期満了,60.65,,,,山陽小野田市議会議員選挙（2013年10月06日投票）,1.0,27.0,22.0,1.2272727272727273,0.0,0.0,0.0,0.1111111111111111,0.13636363636363635,0.7777777777777778,0.18518518518518517,0.037037037037037035,0.7727272727272727,0.18181818181818182,0.045454545454545456,0.7821969750017506,0.17428366360899097,0.04351936138925846,0.03724747500008336,0.03485673272179819,0.04351936138925846,28562.0,3.0,61.074074074074076,8.105443648268352,41.0,56.5,61.0,66.0,74.0,61.27272727272727,6.876718417846343,41.0,57.0,61.5,65.75,73.0,2866.0,,,,2899.11,,,,22796.89,,,,,,28562.0,0.10034311322736503,,,,0.10150234577410545,,,,0.7981545409985294,,,,,,1.0,0.050171556613682514,,,,0.033834115258035154,,,,0.03627975186356952,,,,,,2.0,,,,3.0,,,,22.0,,,,,,2.0,,,,3.0,,,,17.0,,,,,
山陽小野田市議会議員選挙（2017年10月01日投票）,山陽小野田市議会議員選挙,山口県,山陽小野田市,20171001.0,2017.0,10.0,1.0,20170924.0,55.41,22.0,26.0,1.181818181818182,52860.0,,,,任期満了,55.11,,,,山陽小野田市議会議員選挙（2017年10月01日投票）,1.0,26.0,22.0,1.1818181818181819,0.0,0.0,0.0,0.11538461538461539,0.13636363636363635,0.6153846153846154,0.34615384615384615,0.038461538461538464,0.5909090909090909,0.36363636363636365,0.045454545454545456,0.5928272233184477,0.35846574583722784,0.048707030844324435,0.03705170145740298,0.03982952731524754,0.048707030844324435,28887.0,0.0,60.34615384615385,9.527055835850248,35.0,56.5,64.0,67.0,72.0,59.86363636363637,9.621450724791288,35.0,56.5,63.5,67.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
岩国市議会議員選挙（2006年10月22日投票）,岩国市議会議員選挙,山口県,岩国市,20061022.0,2006.0,10.0,22.0,20061015.0,68.95,34.0,57.0,1.6764705882352942,122750.0,,,,任期満了,,,,,岩国市議会議員選挙（2006年10月22日投票）,1.0,57.0,34.0,1.6764705882352942,0.0,0.0,0.0,0.12280701754385964,0.14705882352941177,0.7719298245614035,0.22807017543859648,0.0,0.8529411764705882,0.14705882352941177,0.0,0.8138514850289363,0.1861485149710638,,0.018496624659748554,0.014319116536235677,,83626.98999999999,4.0,56.63157894736842,8.846907634869241,25.0,54.0,57.0,61.0,82.0,54.3235294117647,6.281254034755714,36.0,52.25,55.5,58.0,65.0,8640.0,,,,6576.1,,,,65252.89,,,,,3158.0,83626.99,0.10331592707091335,,,,0.07863609583461033,,,,0.7802850491211031,,,,,0.03776292797337319,1.0,0.025828981767728337,,,,0.019659023958652582,,,,0.016601809555768152,,,,,0.018881463986686595,4.0,,,,4.0,,,,47.0,,,,,2.0,4.0,,,,4.0,,,,25.0,,,,,1.0
岩国市議会議員選挙（2010年10月24日投票）,岩国市議会議員選挙,山口県,岩国市,20101024.0,2010.0,10.0,24.0,20101017.0,63.3,32.0,43.0,1.34375,119384.0,,,-3366.0,任期満了,68.95,,,,岩国市議会議員選挙（2010年10月24日投票）,1.0,43.0,32.0,1.34375,0.0,0.0,0.0,0.13953488372093023,0.15625,0.6046511627906976,0.27906976744186046,0.11627906976744186,0.75,0.1875,0.0625,0.657667192977761,0.2518773249123558,0.09045548210988305,0.025294892037606192,0.020989777076029652,0.01809109642197661,74734.0,5.0,,,,,,,,57.53125,6.279850590380316,40.0,54.0,59.0,62.0,67.0,8114.0,,,,6608.0,,,4137.4,53582.59999999999,,,,,2292.0,74734.0,0.10857173441806942,,,,0.08842026386918939,,,0.05536168276821794,0.7169775470334786,,,,,0.030668771911044505,1.0,0.027142933604517354,,,,0.022105065967297347,,,0.018453894256072648,0.02312830796882189,,,,,0.030668771911044505,4.0,,,,4.0,,,3.0,31.0,,,,,1.0,4.0,,,,3.0,,,1.0,23.0,,,,,1.0
岩国市議会議員選挙（2014年10月26日投票）,岩国市議会議員選挙,山口県,岩国市,20141026.0,2014.0,10.0,26.0,20141019.0,57.4,32.0,40.0,1.25,,,,,任期満了,63.3,,,,岩国市議会議員選挙（2014年10月26日投票）,1.0,40.0,32.0,1.25,0.0,0.0,0.0,0.1,0.09375,0.65,0.3,0.05,0.6875,0.25,0.0625,0.6709624221187541,0.28344996900195063,0.04558760887929527,0.025806247004567465,0.023620830750162553,0.022793804439647635,65587.99799999999,4.0,58.65,8.076354375583081,39.0,54.75,59.5,65.25,71.0,58.96875,8.420526909730768,39.0,54.75,59.5,66.0,71.0,7596.0,,,,5792.0,,,,49950.998,,,,,2249.0,65587.99799999999,0.11581387192211601,,,,0.0883088396752101,,,,0.7615874782456389,,,,,0.03428981015703514,1.0,0.028953467980529002,,,,0.022077209918802524,,,,0.024567338007923836,,,,,0.03428981015703514,4.0,,,,4.0,,,,31.0,,,,,1.0,4.0,,,,4.0,,,,23.0,,,,,1.0
岩国市議会議員選挙（2018年10月14日投票）,岩国市議会議員選挙,山口県,岩国市,20181014.0,2018.0,10.0,14.0,20181007.0,50.38,30.0,33.0,1.1,,,,,任期満了,57.4,,,,岩国市議会議員選挙（2018年10月14日投票）,1.0,33.0,30.0,1.1,0.0,0.0,0.0,0.12121212121212122,0.13333333333333333,0.7272727272727273,0.24242424242424243,0.030303030303030304,0.8,0.16666666666666666,0.03333333333333333,0.7739275616850966,0.17947599430694847,0.046596444007954894,0.032246981736879024,0.02243449928836856,0.046596444007954894,56484.997,3.0,58.96969696969697,10.763250743843113,26.0,55.0,61.0,67.0,74.0,59.7,10.273428509184914,26.0,55.5,61.0,68.5,74.0,7896.517,,,,4992.0,,,,43596.479999999996,,,,,,56484.996999999996,0.1397984848967948,,,,0.08837745003332478,,,,0.7718240650698804,,,,,,1.0,0.0349496212241987,,,,0.02945915001110826,,,,0.02968554096422617,,,,,,4.0,,,,3.0,,,,26.0,,,,,,4.0,,,,3.0,,,,23.0,,,,,
平生町議会補欠議員選挙（2018年11月18日投票）,平生町議会補欠議員選挙,山口県,平生町,20181118.0,2018.0,11.0,18.0,20181113.0,30.77,1.0,2.0,2.0,10272.0,,,,死亡/長岡浩氏の死去による,,,,,平生町議会補欠議員選挙（2018年11月18日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,,0.6243523316062176,0.3756476683937824,,0.6243523316062176,0.3756476683937824,3088.0,2.0,52.0,12.0,40.0,46.0,52.0,58.0,64.0,40.0,0.0,40.0,40.0,40.0,40.0,40.0,,,,,1160.0,,,,1928.0,,,,,,3088.0,,,,,0.3756476683937824,,,,0.6243523316062176,,,,,,1.0,,,,,0.3756476683937824,,,,0.6243523316062176,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,0.0,,,,1.0,,,,,
平生町議会議員選挙（2007年04月22日投票）,平生町議会議員選挙,山口県,平生町,20070422.0,2007.0,4.0,22.0,20070417.0,66.57,12.0,13.0,1.0833333333333333,11121.0,,,,任期満了,,,,,平生町議会議員選挙（2007年04月22日投票）,1.0,13.0,12.0,1.0833333333333333,0.0,0.0,0.0,0.15384615384615385,0.16666666666666666,0.6153846153846154,0.38461538461538464,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6336430718775622,0.3663569281224378,,0.07920538398469527,0.07327138562448757,,7318.0,2.0,58.61538461538461,12.338423172777489,31.0,51.0,61.0,65.0,85.0,56.416666666666664,10.103286044099162,31.0,50.5,60.5,63.5,67.0,,,,,551.0,,,,6767.0,,,,,,7318.0,,,,,0.07529379611915824,,,,0.9247062038808418,,,,,,1.0,,,,,0.07529379611915824,,,,0.07705885032340348,,,,,,,,,,1.0,,,,12.0,,,,,,,,,,1.0,,,,11.0,,,,,
平生町議会議員選挙（2011年04月24日投票）,平生町議会議員選挙,山口県,平生町,20110424.0,2011.0,4.0,24.0,20110419.0,65.43,12.0,14.0,1.1666666666666667,10955.0,,,-166.0,任期満了,66.57,,,,平生町議会議員選挙（2011年04月24日投票）,1.0,14.0,12.0,1.1666666666666667,0.0,0.0,0.0,0.14285714285714285,0.16666666666666666,0.6428571428571429,0.2857142857142857,0.07142857142857142,0.6666666666666666,0.3333333333333333,0.0,0.5993251792492619,0.3596232250808379,0.04105159566990018,0.06659168658325132,0.08990580627020947,0.04105159566990018,7113.0,2.0,,,,,,,,,,,,,,,,,,,691.0,,,,6422.0,,,,,,7113.0,,,,,0.09714607057500352,,,,0.9028539294249965,,,,,,1.0,,,,,0.09714607057500352,,,,0.06945030226346127,,,,,,,,,,1.0,,,,13.0,,,,,,,,,,1.0,,,,11.0,,,,,
平生町議会議員選挙（2015年04月26日投票）,平生町議会議員選挙,山口県,平生町,20150426.0,2015.0,4.0,26.0,20150421.0,60.34,12.0,13.0,1.0833333333333333,,,,,任期満了,65.43,,,,平生町議会議員選挙（2015年04月26日投票）,1.0,13.0,12.0,1.0833333333333333,0.0,0.0,0.0,0.23076923076923078,0.25,0.8461538461538461,0.15384615384615385,0.0,0.9166666666666666,0.08333333333333333,0.0,0.8337604099935938,0.16623959000640615,,0.07579640090850853,0.08311979500320307,,6244.0,2.0,61.76923076923077,11.409536133993328,35.0,59.0,67.0,68.0,73.0,61.666666666666664,11.86966254317657,35.0,58.5,67.5,68.25,73.0,,,,,530.0,,,,5714.0,,,,,,6244.0,,,,,0.0848814862267777,,,,0.9151185137732223,,,,,,1.0,,,,,0.0848814862267777,,,,0.07625987614776852,,,,,,,,,,1.0,,,,12.0,,,,,,,,,,1.0,,,,11.0,,,,,
平生町議会議員選挙（2019年04月21日投票）,平生町議会議員選挙,山口県,平生町,20190421.0,2019.0,4.0,21.0,20190416.0,無投票,12.0,12.0,1.0,,,,,任期満了,60.34,,,,平生町議会議員選挙（2019年04月21日投票）,1.0,12.0,12.0,1.0,1.0,1.0,0.0,0.25,0.25,0.8333333333333334,0.08333333333333333,0.08333333333333333,0.8333333333333334,0.08333333333333333,0.08333333333333333,,,,,,,0.0,3.0,61.166666666666664,12.428685458334773,39.0,56.5,65.0,71.25,73.0,61.166666666666664,12.428685458334773,39.0,56.5,65.0,71.25,73.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,10.0,,1.0,,,,,,,,1.0,,,,10.0,,1.0,,,
柳井市議会議員補欠選挙（2021年02月28日投票）,柳井市議会議員補欠選挙,山口県,柳井市,20210228.0,2021.0,2.0,28.0,20210221.0,62.99,2.0,3.0,1.5,26607.0,12253.0,14354.0,,その他,,,,,柳井市議会議員補欠選挙（2021年02月28日投票）,1.0,3.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,,0.5683724001320568,0.4316275998679432,,0.2841862000660284,0.4316275998679432,15145.0,1.0,61.333333333333336,9.46337971105226,49.0,56.0,63.0,67.5,72.0,56.0,7.0,49.0,52.5,56.0,59.5,63.0,,,,,,,,,15145.0,,,,,,15145.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,2.0,,,,,
柳井市議会議員選挙（2005年12月04日投票）,柳井市議会議員選挙,山口県,柳井市,20051204.0,2005.0,12.0,4.0,20051127.0,68.18,23.0,24.0,1.0434782608695652,30420.0,,,,任期満了,,,,,柳井市議会議員選挙（2005年12月04日投票）,1.0,24.0,23.0,1.0434782608695652,0.0,0.0,0.0,0.20833333333333334,0.21739130434782608,0.9166666666666666,0.08333333333333333,0.0,0.9130434782608695,0.08695652173913043,0.0,0.8920103218267685,0.10798967817323141,,0.04054592371939857,0.053994839086615704,,20539.0,3.0,56.708333333333336,6.748327982215709,42.0,50.75,57.5,60.25,69.0,56.69565217391305,6.8931899765587525,42.0,50.5,58.0,60.5,69.0,1431.0,,,,1561.0,,,,17547.0,,,,,,20539.0,0.06967233068795949,,,,0.07600175276303618,,,,0.8543259165490044,,,,,,1.0,0.06967233068795949,,,,0.03800087638151809,,,,0.04068218650233354,,,,,,1.0,,,,2.0,,,,21.0,,,,,,1.0,,,,2.0,,,,20.0,,,,,
柳井市議会議員選挙（2009年12月06日投票）,柳井市議会議員選挙,山口県,柳井市,20091206.0,2009.0,12.0,6.0,20091129.0,64.43,18.0,21.0,1.1666666666666667,29603.0,,,-817.0,任期満了,68.18,,,,柳井市議会議員選挙（2009年12月06日投票）,1.0,21.0,18.0,1.1666666666666667,0.0,0.0,0.0,0.19047619047619047,0.16666666666666666,0.8095238095238095,0.19047619047619047,0.0,0.8888888888888888,0.1111111111111111,0.0,0.8417201336232037,0.15827986637679622,,0.049512949036659044,0.039569966594199056,,18859.0,3.0,58.476190476190474,8.074764024970445,41.0,54.0,60.0,64.0,73.0,59.77777777777778,6.956655929999346,46.0,54.25,60.5,63.75,73.0,1305.0,,,,1521.0,,,,16033.0,,,,,,18859.0,0.06919773052653905,,,,0.08065114799300069,,,,0.8501511214804602,,,,,,1.0,0.06919773052653905,,,,0.040325573996500344,,,,0.04723061786002557,,,,,,1.0,,,,2.0,,,,18.0,,,,,,1.0,,,,2.0,,,,15.0,,,,,
柳井市議会議員選挙（2013年12月01日投票）,柳井市議会議員選挙,山口県,柳井市,20131201.0,2013.0,12.0,1.0,20131124.0,60.86,18.0,20.0,1.1111111111111112,,,,,任期満了,64.43,,,,柳井市議会議員選挙（2013年12月01日投票）,1.0,20.0,18.0,1.1111111111111112,0.0,0.0,0.0,0.2,0.16666666666666666,0.75,0.25,0.0,0.7777777777777778,0.2222222222222222,0.0,0.7368206679855697,0.26317933201443033,,0.04912137786570465,0.05263586640288607,,17186.0,3.0,59.55,7.864318152262152,38.0,54.75,59.5,66.0,72.0,60.22222222222222,8.010795185633748,38.0,57.25,61.0,66.0,72.0,1230.0,,,,977.0,,,,14979.0,,,,,,17186.0,0.07156988246246945,,,,0.056848597695798905,,,,0.8715815198417316,,,,,,1.0,0.07156988246246945,,,,0.056848597695798905,,,,0.048421195546762864,,,,,,1.0,,,,1.0,,,,18.0,,,,,,1.0,,,,1.0,,,,16.0,,,,,
柳井市議会議員選挙（2017年12月03日投票）,柳井市議会議員選挙,山口県,柳井市,20171203.0,2017.0,12.0,3.0,20171126.0,無投票,18.0,18.0,1.0,,,,,任期満了,60.86,,,,柳井市議会議員選挙（2017年12月03日投票）,1.0,18.0,18.0,1.0,1.0,1.0,0.0,0.05555555555555555,0.05555555555555555,0.7222222222222222,0.2222222222222222,0.05555555555555555,0.7222222222222222,0.2222222222222222,0.05555555555555555,,,,,,,0.0,4.0,62.0,8.819171036881968,42.0,56.0,63.5,69.25,73.0,62.0,8.819171036881968,42.0,56.0,63.5,69.25,73.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,15.0,,,,,1.0,1.0,,,,1.0,,,,15.0,,,,,1.0
田布施町議会議員補欠選挙（2018年10月21日投票）,田布施町議会議員補欠選挙,山口県,田布施町,20181021.0,2018.0,10.0,21.0,20181016.0,24.92,1.0,2.0,2.0,,,,,その他,,,,,田布施町議会議員補欠選挙（2018年10月21日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,,0.8026649746192893,0.19733502538071065,,0.8026649746192893,0.19733502538071065,3152.0,1.0,69.5,0.5,69.0,69.25,69.5,69.75,70.0,69.0,0.0,69.0,69.0,69.0,69.0,69.0,,,,,,,,,3152.0,,,,,,3152.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,0.5,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,
田布施町議会議員選挙（2003年04月27日投票）,田布施町議会議員選挙,山口県,田布施町,20030427.0,2003.0,4.0,27.0,20030422.0,75.0,16.0,17.0,1.0625,13385.0,,,,任期満了,,,,,田布施町議会議員選挙（2003年04月27日投票）,1.0,17.0,16.0,1.0625,0.0,0.0,0.0,0.11764705882352941,0.0625,0.8235294117647058,0.17647058823529413,0.0,0.875,0.125,0.0,0.8447061191626409,0.1552938808373591,,0.06033615136876007,0.05176462694578637,,9936.0,2.0,59.11764705882353,7.111567651627018,47.0,54.0,56.0,65.0,71.0,59.4375,7.210831696136029,47.0,54.5,59.0,65.0,71.0,,,,,562.0,,,,9374.0,,,,,,9936.0,,,,,0.056561996779388085,,,,0.9434380032206119,,,,,,1.0,,,,,0.056561996779388085,,,,0.05896487520128824,,,,,,,,,,1.0,,,,16.0,,,,,,,,,,1.0,,,,15.0,,,,,
