ele_ymd,prefecture,ele_ymd,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes
近江八幡市議会議員選挙（2015年04月26日投票）,滋賀県,近江八幡市議会議員選挙（2015年04月26日投票）,0.6071428571428571,0.32142857142857145,0.07142857142857142,0.7083333333333334,0.2916666666666667,0.0,0.6406027342863626,0.3203684479237576,0.03902881778987974,2.836396641706376e-05,0.03559649421375085,0.01951440889493987,35256.0
近江八幡市議会議員選挙（2011年04月24日投票）,滋賀県,近江八幡市議会議員選挙（2011年04月24日投票）,0.6551724137931034,0.3103448275862069,0.034482758620689655,0.6666666666666666,0.2916666666666667,0.041666666666666664,0.6929555676511875,0.2776233993181883,0.02942103303062423,2.8647549202165755e-05,0.030847044368687588,0.02942103303062423,34907.0
近江八幡市議会議員選挙（2007年04月22日投票）,滋賀県,近江八幡市議会議員選挙（2007年04月22日投票）,0.6086956521739131,0.30434782608695654,0.08695652173913043,0.65,0.25,0.1,0.5822262610802882,0.29941394043747216,0.11835979848223965,3.188572157387922e-05,0.04277342006249602,0.05917989924111983,31362.0
近江八幡市議会議員選挙（2003年04月27日投票）,滋賀県,近江八幡市議会議員選挙（2003年04月27日投票）,0.6428571428571429,0.32142857142857145,0.03571428571428571,0.7083333333333334,0.25,0.041666666666666664,0.6629868907984695,0.2922285642601769,0.044784544941353574,3.136172614940726e-05,0.03246984047335299,0.044784544941353574,31886.0
草津市議会議員選挙（2019年09月08日投票）,滋賀県,草津市議会議員選挙（2019年09月08日投票）,0.6153846153846154,0.3076923076923077,0.07692307692307693,0.6666666666666666,0.25,0.08333333333333333,0.9970675776926937,0.0022092839417914858,0.0007231383655148236,2.2913129452307468e-07,0.0002761604927239357,0.0003615691827574118,4364310.0
草津市議会議員選挙（2015年09月13日投票）,滋賀県,草津市議会議員選挙（2015年09月13日投票）,0.6153846153846154,0.38461538461538464,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6302676992104923,0.3697323007895078,,2.1571249838215627e-05,0.03697323007895078,,46358.0
草津市議会議員選挙（2011年09月11日投票）,滋賀県,草津市議会議員選挙（2011年09月11日投票）,0.7,0.3,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8132710976705454,0.18672890232945455,,2.1913965770385466e-05,0.02074765581438384,,45633.0
草津市議会議員選挙（2007年09月09日投票）,滋賀県,草津市議会議員選挙（2007年09月09日投票）,0.76,0.2,0.04,0.7916666666666666,0.16666666666666666,0.041666666666666664,0.7791107974594214,0.1921430251705481,0.02874617737003058,2.352387673488591e-05,0.03842860503410962,0.02874617737003058,42510.0
草津市議会議員補欠選挙（2007年04月22日投票）,滋賀県,草津市議会議員補欠選挙（2007年04月22日投票）,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,0.0
守山市議会議員選挙（2019年10月06日投票）,滋賀県,守山市議会議員選挙（2019年10月06日投票）,0.6956521739130435,0.2608695652173913,0.043478260869565216,0.8,0.15,0.05,0.6894584008643976,0.24729875742841706,0.0632428417071853,3.37655321447866e-05,0.041216459571402846,0.0632428417071853,29616.0
