"","","","","/項目 コード","F1101","F110101","F110102","F1102","F110201","F110202","F1107","F1108","F2116","F2201","F2211","F2221","F2401","F2402","F2409","F2410","F2411","F2705","F2803"
"調査年 コード","調査年","地域 コード","地域","/項目","F1101_労働力人口【人】","F110101_労働力人口（男）【人】","F110102_労働力人口（女）【人】","F1102_就業者数【人】","F110201_就業者数（男）【人】","F110202_就業者数（女）【人】","F1107_完全失業者数【人】","F1108_非労働力人口【人】","F2116_就業者数（65歳以上）【人】","F2201_第1次産業就業者数【人】","F2211_第2次産業就業者数【人】","F2221_第3次産業就業者数【人】","F2401_雇用者数（国勢調査結果）【人】","F2402_役員数【人】","F2409_雇用者数（正規の職員・従業員）【人】","F2410_雇用者数（労働者派遣事業所の派遣社員）【人】","F2411_雇用者数（パート・アルバイト・その他）【人】","F2705_他市区町村への通勤者数【人】","F2803_他市区町村からの通勤者数【人】"
"2015100000","2015年度","01235","北海道 石狩市","","27382","15621","11761","26136","14772","11364","1246","20616","3524","1258","5889","17653","20729","1443","11845","585","8299","11917","14806"
"2015100000","2015年度","01236","北海道 北斗市","","22887","12412","10475","21715","11734","9981","1172","16027","2514","1699","4840","14515","17492","939","10752","347","6393","10053","6528"
"2015100000","2015年度","01303","北海道 当別町","","8613","4905","3708","8131","4591","3540","482","6704","1203","1258","1500","5220","6060","396","3438","168","2454","3423","2392"
"2015100000","2015年度","01304","北海道 新篠津村","","1591","863","728","1569","848","721","22","1303","324","674","110","651","774","62","464","11","299","222","485"
"2015100000","2015年度","01331","北海道 松前町","","3381","1801","1580","3251","1704","1547","130","3407","815","362","1088","1799","2564","114","1327","23","1214","293","98"
"2015100000","2015年度","01332","北海道 福島町","","2042","1155","887","1886","1017","869","156","2049","436","271","729","882","1396","73","781","24","591","285","172"
"2015100000","2015年度","01333","北海道 知内町","","2539","1474","1065","2441","1395","1046","98","1606","461","636","698","1088","1781","80","1100","24","657","398","428"
"2015100000","2015年度","01334","北海道 木古内町","","2173","1288","885","2057","1201","856","116","2067","373","211","589","1257","1624","81","1024","15","585","509","596"
"2015100000","2015年度","01337","北海道 七飯町","","13200","7134","6066","12436","6653","5783","764","11154","1672","1256","2443","8354","9809","558","6059","184","3566","6586","3210"
"2015100000","2015年度","01343","北海道 鹿部町","","2108","1171","937","2015","1112","903","93","1695","415","790","463","761","1141","82","664","19","458","334","364"
"2015100000","2015年度","01345","北海道 森町","","8231","4478","3753","7841","4217","3624","390","5905","1407","1825","2266","3711","5390","438","3317","61","2012","746","1065"
"2015100000","2015年度","01346","北海道 八雲町","","8898","5129","3769","8571","4899","3672","327","6264","1179","1773","1625","5132","6186","403","4212","77","1897","588","703"
"2015100000","2015年度","01347","北海道 長万部町","","2701","1518","1183","2605","1452","1153","96","2714","418","515","571","1516","1879","149","1146","12","721","195","262"
"2015100000","2015年度","01361","北海道 江差町","","4046","2364","1682","3852","2241","1611","194","3375","657","403","585","2833","2946","187","2033","31","882","604","1060"
"2015100000","2015年度","01362","北海道 上ノ国町","","2247","1204","1043","2154","1145","1009","93","2122","403","369","608","1170","1607","138","1041","9","557","661","254"
"2015100000","2015年度","01363","北海道 厚沢部町","","2134","1169","965","2055","1110","945","79","1465","451","677","300","1048","1292","129","796","19","477","361","519"
"2015100000","2015年度","01364","北海道 乙部町","","1858","1061","797","1761","992","769","97","1661","333","275","489","993","1380","90","755","10","615","535","210"
"2015100000","2015年度","01367","北海道 奥尻町","","1393","940","453","1347","904","443","46","1043","242","151","171","1020","991","53","733","1","257","3","28"
"2015100000","2015年度","01370","北海道 今金町","","2903","1616","1287","2825","1568","1257","78","2149","550","820","386","1592","1814","114","1170","21","623","291","277"
"2015100000","2015年度","01371","北海道 せたな町","","4089","2334","1755","3977","2254","1723","112","3634","832","1073","627","2276","2559","191","1597","31","931","333","273"
"2015100000","2015年度","01391","北海道 島牧村","","717","441","276","697","426","271","20","658","147","176","98","422","466","24","314","1","151","123","48"
"2015100000","2015年度","01392","北海道 寿都町","","1436","809","627","1393","776","617","43","1377","233","137","307","942","1096","97","769","5","322","135","186"
"2015100000","2015年度","01393","北海道 黒松内町","","1368","764","604","1331","743","588","37","1358","180","192","157","980","1054","52","723","6","325","111","171"
"2015100000","2015年度","01394","北海道 蘭越町","","2480","1420","1060","2388","1351","1037","92","1836","457","684","322","1355","1539","127","905","14","620","385","275"
"2015100000","2015年度","01395","北海道 ニセコ町","","2658","1540","1118","2523","1450","1073","135","1503","361","480","226","1786","1723","133","1064","33","626","605","574"
"2015100000","2015年度","01396","北海道 真狩村","","1163","658","505","1144","644","500","19","699","232","488","61","574","671","48","375","16","280","173","242"
"2015100000","2015年度","01397","北海道 留寿都村","","1230","681","549","1213","670","543","17","430","178","362","85","760","827","43","495","24","308","113","477"
