"","","","","/項目 コード","D1202","D2201","D2202","D2203","D2204","D2205","D2206","D2209","D2210","D2211","D2212","D2213","D2214","D2215","D3205","D420102","D420202"
"調査年 コード","調査年","地域 コード","地域","/項目","D1202_一般行政部門職員数（市区町村）【人】","D2201_財政力指数（市町村財政）【‐】","D2202_実質収支比率（市町村財政）【％】","D2203_経常収支比率（市町村財政）【％】","D2204_公債費比率（市町村財政）【％】","D2205_基準財政収入額（市町村財政）【千円】","D2206_基準財政需要額（市町村財政）【千円】","D2209_一般財源（市町村財政）【千円】","D2210_投資的経費（市町村財政）【千円】","D2211_実質公債費比率（市町村財政）【％】","D2212_将来負担比率（市町村財政）【％】","D2213_標準財政規模（市町村財政）【千円】","D2214_実質赤字比率（市町村財政）【％】","D2215_連結実質赤字比率（市町村財政）【％】","D3205_地方債現在高（市町村財政）【千円】","D420102_市町村民税【千円】","D420202_固定資産税（市町村税）【千円】"
"1989100000","1989年度","33461","岡山県 矢掛町","","***","0.39","10.1","***","12.6","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","33586","岡山県 新庄村","","***","0.57","7.6","***","9.3","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","33606","岡山県 鏡野町","","***","-","-","***","-","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","33622","岡山県 勝央町","","***","0.48","3.8","***","11.8","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","33623","岡山県 奈義町","","***","0.28","5.7","***","11.2","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","33643","岡山県 西粟倉村","","***","0.11","9.6","***","12.0","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","33663","岡山県 久米南町","","***","0.20","5.9","***","12.0","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","33666","岡山県 美咲町","","***","-","-","***","-","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","33681","岡山県 吉備中央町","","***","-","-","***","-","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","34100","広島県 広島市","","***","-","-","***","-","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","34101","広島県 広島市 中区","","***","-","-","***","-","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","34102","広島県 広島市 東区","","***","-","-","***","-","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","34103","広島県 広島市 南区","","***","-","-","***","-","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","34104","広島県 広島市 西区","","***","-","-","***","-","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","34105","広島県 広島市 安佐南区","","***","-","-","***","-","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","34106","広島県 広島市 安佐北区","","***","-","-","***","-","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","34107","広島県 広島市 安芸区","","***","-","-","***","-","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","34108","広島県 広島市 佐伯区","","***","-","-","***","-","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","34202","広島県 呉市","","***","-","-","***","-","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","34203","広島県 竹原市","","***","0.76","1.4","***","11.0","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","34204","広島県 三原市","","***","-","-","***","-","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","34205","広島県 尾道市","","***","-","-","***","-","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","34207","広島県 福山市","","***","-","-","***","-","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","34208","広島県 府中市","","***","-","-","***","-","***","***","***","***","***","***","***","***","***","***","***","***"
