"","","","","/項目 コード","D3201","D320101","D320102","D320103","D320108","D320111","D320113","D320115","D320116","D320117","D320118","D320119","D320120","D320121","D320122","D3202","D3203102"
"調査年 コード","調査年","地域 コード","地域","/項目","D3201_歳入決算総額（市町村財政）【千円】","D320101_地方税（市町村財政）【千円】","D320102_地方譲与税（市町村財政）【千円】","D320103_利子割交付金（市町村財政）【千円】","D320108_地方交付税（市町村財政）【千円】","D320111_使用料（市町村財政）【千円】","D320113_国庫支出金（市町村財政）【千円】","D320115_県支出金（市町村財政）【千円】","D320116_財産収入（市町村財政）【千円】","D320117_寄附金（市町村財政）【千円】","D320118_繰入金（市町村財政）【千円】","D320119_繰越金（市町村財政）【千円】","D320120_諸収入（市町村財政）【千円】","D320121_地方債（市町村財政）【千円】","D320122_地方特例交付金（市町村財政）【千円】","D3202_自主財源額（市町村財政）【千円】","D3203102_小学校費（市町村財政）【千円】"
"1988100000","1988年度","30404","和歌山県 上富田町","","5379593","808618","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","30406","和歌山県 すさみ町","","2503901","335830","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","30421","和歌山県 那智勝浦町","","6088968","1603947","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","30422","和歌山県 太地町","","1572183","287470","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","30424","和歌山県 古座川町","","2850759","209856","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","30427","和歌山県 北山村","","898016","63206","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","30428","和歌山県 串本町","","7229581","1511865","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","31201","鳥取県 鳥取市","","54700225","17454010","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","31202","鳥取県 米子市","","33884793","13764276","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","31203","鳥取県 倉吉市","","19786524","5041618","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","31204","鳥取県 境港市","","8949824","3335233","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","31302","鳥取県 岩美町","","4397571","808270","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","31325","鳥取県 若桜町","","2660445","322787","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","31328","鳥取県 智頭町","","3773339","731522","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","31329","鳥取県 八頭町","","7582353","1070180","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","31364","鳥取県 三朝町","","4383268","750848","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","31370","鳥取県 湯梨浜町","","7321928","1110542","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","31371","鳥取県 琴浦町","","10255125","1570428","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","31372","鳥取県 北栄町","","5441942","1069883","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","31384","鳥取県 日吉津村","","1470722","721352","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","31386","鳥取県 大山町","","7262144","1187376","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","31389","鳥取県 南部町","","4372399","615280","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","31390","鳥取県 伯耆町","","4836558","911502","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","31401","鳥取県 日南町","","4767679","427512","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","31402","鳥取県 日野町","","2557513","352726","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","31403","鳥取県 江府町","","2477965","1309363","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","32201","島根県 松江市","","51018015","21028283","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","32202","島根県 浜田市","","30270148","5970227","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","32203","島根県 出雲市","","48285019","14039716","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","32204","島根県 益田市","","17367386","4920940","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","32205","島根県 大田市","","18334955","3437726","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","32206","島根県 安来市","","14127528","3885083","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
