"","","","","/項目 コード","D3203","D320301","D320302","D320303","D320304","D320305","D320306","D320307","D320308","D320309","D320310","D320311","D320312","D320401","D320402","D320403","D320404","D320405","D320406","D320407","D320408","D320410","D320411","D320412"
"1986100000","1986年度","28213","兵庫県 西脇市","","10540666","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","28214","兵庫県 宝塚市","","48072101","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","28215","兵庫県 三木市","","16248003","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","28216","兵庫県 高砂市","","20448648","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","28217","兵庫県 川西市","","28262064","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","28218","兵庫県 小野市","","9681539","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","28219","兵庫県 三田市","","14384222","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","28220","兵庫県 加西市","","10496544","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","28221","兵庫県 丹波篠山市","","12072265","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","28222","兵庫県 養父市","","10977501","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","28223","兵庫県 丹波市","","19168398","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","28224","兵庫県 南あわじ市","","14129426","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","28225","兵庫県 朝来市","","11152150","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","28226","兵庫県 淡路市","","14033308","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","28227","兵庫県 宍粟市","","13289135","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","28228","兵庫県 加東市","","9094088","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","28229","兵庫県 たつの市","","16957908","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","28301","兵庫県 猪名川町","","4820917","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","28365","兵庫県 多可町","","6947709","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","28381","兵庫県 稲美町","","5408545","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","28382","兵庫県 播磨町","","5516800","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","28442","兵庫県 市川町","","3360383","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","28443","兵庫県 福崎町","","3739952","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","28446","兵庫県 神河町","","4726879","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","28464","兵庫県 太子町","","4526211","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","28481","兵庫県 上郡町","","4743444","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","28501","兵庫県 佐用町","","8820203","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","28585","兵庫県 香美町","","8125864","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","28586","兵庫県 新温泉町","","6950769","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","29201","奈良県 奈良市","","64276060","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","29202","奈良県 大和高田市","","14844395","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","29203","奈良県 大和郡山市","","20377574","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","29204","奈良県 天理市","","15927939","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","29205","奈良県 橿原市","","25305215","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","29206","奈良県 桜井市","","14318013","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","29207","奈良県 五條市","","12002845","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","29208","奈良県 御所市","","12615992","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","29209","奈良県 生駒市","","18443173","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","29210","奈良県 香芝市","","8333349","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","29211","奈良県 葛城市","","7549617","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","29212","奈良県 宇陀市","","15076868","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","29322","奈良県 山添村","","3193261","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","29342","奈良県 平群町","","4833591","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","29343","奈良県 三郷町","","6428399","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","29344","奈良県 斑鳩町","","4905331","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","29345","奈良県 安堵町","","2796689","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","29361","奈良県 川西町","","3511114","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1986100000","1986年度","29362","奈良県 三宅町","","2663525","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
