"","","","","/項目 コード","H8101","H8102","H8103","H810401","H810402","H810407","H810408","H810409"
"調査年 コード","調査年","地域 コード","地域","/項目","H8101_都市計画区域指定面積【ｈａ】","H8102_市街化調整区域面積【ｈａ】","H8103_市街化区域面積【ｈａ】","H810401_住居専用地域面積【ｈａ】","H810402_住居地域面積【ｈａ】","H810407_工業専用地域面積【ｈａ】","H810408_商業・近隣商業地域面積【ｈａ】","H810409_工業・準工業地域面積【ｈａ】"
"1997100000","1997年度","12402","（旧）千葉県 大網白里町","","***","5287","***","314.4","182.8","0.0","15.9","39.5"
"1997100000","1997年度","17344","（旧）石川県 野々市町","","***","517","***","212.0","320.0","0.0","51.0","256.0"
"1997100000","1997年度","23304","（旧）愛知県 長久手町","","***","1400","***","426.0","251.3","0.0","5.1","72.0"
"1997100000","1997年度","40305","（旧）福岡県 那珂川町","","***","1336","***","287.0","217.0","0.0","15.0","47.0"
"1996100000","1996年度","03305","（旧）岩手県 滝沢村","","***","5873","***","330.0","221.0","0.0","0.0","46.0"
"1996100000","1996年度","04423","（旧）宮城県 富谷町","","***","4029","***","561.5","170.3","0.0","41.7","110.2"
"1996100000","1996年度","12402","（旧）千葉県 大網白里町","","***","5287","***","314.0","183.1","0.0","16.0","40.0"
"1996100000","1996年度","17344","（旧）石川県 野々市町","","***","517","***","212.0","320.0","0.0","51.0","256.0"
"1996100000","1996年度","23304","（旧）愛知県 長久手町","","***","1525","***","315.0","248.3","0.0","5.1","72.0"
"1996100000","1996年度","40305","（旧）福岡県 那珂川町","","***","1336","***","287.0","217.0","0.0","15.0","47.0"
"1995100000","1995年度","03305","（旧）岩手県 滝沢村","","***","5873","***","-","-","-","-","-"
"1995100000","1995年度","04423","（旧）宮城県 富谷町","","***","4029","***","-","-","-","-","-"
"1995100000","1995年度","12402","（旧）千葉県 大網白里町","","***","5287","***","-","-","-","-","-"
"1995100000","1995年度","17344","（旧）石川県 野々市町","","***","517","***","-","-","-","-","-"
"1995100000","1995年度","23304","（旧）愛知県 長久手町","","***","1525","***","-","-","-","-","-"
"1995100000","1995年度","40305","（旧）福岡県 那珂川町","","***","1336","***","-","-","-","-","-"
"1994100000","1994年度","03305","（旧）岩手県 滝沢村","","***","5873","***","338.0","213.0","0.0","0.0","46.0"
"1994100000","1994年度","04423","（旧）宮城県 富谷町","","***","4029","***","654.2","118.8","0.0","0.0","110.7"
"1994100000","1994年度","12402","（旧）千葉県 大網白里町","","***","5287","***","320.0","177.0","0.0","16.0","40.0"
"1994100000","1994年度","17344","（旧）石川県 野々市町","","***","517","***","234.0","295.0","0.0","51.0","259.0"
"1994100000","1994年度","23304","（旧）愛知県 長久手町","","***","1525","***","282.0","283.0","0.0","5.1","70.0"
"1994100000","1994年度","40305","（旧）福岡県 那珂川町","","***","1336","***","287.0","217.0","0.0","15.0","47.0"
"1993100000","1993年度","03305","（旧）岩手県 滝沢村","","***","5873","***","338.0","213.0","0.0","0.0","46.0"
"1993100000","1993年度","04423","（旧）宮城県 富谷町","","***","4085","***","598.6","118.8","0.0","0.0","110.7"
"1993100000","1993年度","12402","（旧）千葉県 大網白里町","","***","5287","***","320.0","177.0","0.0","16.0","40.0"
"1993100000","1993年度","17344","（旧）石川県 野々市町","","***","517","***","234.0","295.0","0.0","51.0","259.0"
"1993100000","1993年度","23304","（旧）愛知県 長久手町","","***","1514","***","282.0","283.0","0.0","6.0","70.0"
"1993100000","1993年度","40305","（旧）福岡県 那珂川町","","***","1336","***","274.0","229.3","0.0","15.7","47.0"
"1992100000","1992年度","03305","（旧）岩手県 滝沢村","","***","5873","***","338.0","213.0","0.0","0.0","46.0"
"1992100000","1992年度","04423","（旧）宮城県 富谷町","","***","4085","***","603.2","118.8","52.8","0.0","53.0"
"1992100000","1992年度","12402","（旧）千葉県 大網白里町","","***","5287","***","320.0","177.0","0.0","16.0","40.0"
"1992100000","1992年度","17344","（旧）石川県 野々市町","","***","517","***","234.0","295.0","0.0","51.0","259.0"
"1992100000","1992年度","23304","（旧）愛知県 長久手町","","***","1514","***","282.0","283.0","0.0","5.0","70.0"
"1992100000","1992年度","40305","（旧）福岡県 那珂川町","","***","1336","***","274.0","229.3","0.0","15.0","47.0"
"1991100000","1991年度","03305","（旧）岩手県 滝沢村","","***","5873","***","338.0","213.0","0.0","0.0","46.0"
"1991100000","1991年度","04423","（旧）宮城県 富谷町","","***","4085","***","603.3","118.7","52.8","0.0","53.0"
"1991100000","1991年度","12402","（旧）千葉県 大網白里町","","***","5287","***","320.0","177.0","0.0","16.0","40.0"
"1991100000","1991年度","17344","（旧）石川県 野々市町","","***","517","***","234.0","295.0","0.0","51.0","259.0"
"1991100000","1991年度","23304","（旧）愛知県 長久手町","","***","1514","***","282.0","283.0","0.0","5.0","70.0"
"1991100000","1991年度","40305","（旧）福岡県 那珂川町","","***","1336","***","274.0","229.3","0.0","15.0","47.0"
"1990100000","1990年度","03305","（旧）岩手県 滝沢村","","***","5873","***","338.0","213.0","0.0","0.0","46.0"
"1990100000","1990年度","04423","（旧）宮城県 富谷町","","***","4085","***","603.3","118.7","52.8","0.0","53.0"
"1990100000","1990年度","12402","（旧）千葉県 大網白里町","","***","5287","***","320.0","177.0","0.0","16.0","40.0"
"1990100000","1990年度","17344","（旧）石川県 野々市町","","***","507","***","242.0","287.0","0.0","51.0","258.0"
