"","","","","/項目 コード","B1101","B1103"
"調査年 コード","調査年","地域 コード","地域","/項目","B1101_総面積（北方地域及び竹島を除く）【ｈａ】","B1103_可住地面積【ｈａ】"
"2019100000","2019年度","01692","北海道 中標津町","","68487","35511"
"2019100000","2019年度","01693","北海道 標津町","","62469","20917"
"2019100000","2019年度","01694","北海道 羅臼町","","39772","11799"
"2019100000","2019年度","02201","青森県 青森市","","82462","25928"
"2019100000","2019年度","02202","青森県 弘前市","","52420","29399"
"2019100000","2019年度","02203","青森県 八戸市","","30556","20345"
"2019100000","2019年度","02204","青森県 黒石市","","21705","7291"
"2019100000","2019年度","02205","青森県 五所川原市","","40420","17136"
"2019100000","2019年度","02206","青森県 十和田市","","72565","19918"
"2019100000","2019年度","02207","青森県 三沢市","","11987","9782"
"2019100000","2019年度","02208","青森県 むつ市","","86412","13922"
"2019100000","2019年度","02209","青森県 つがる市","","25355","21362"
"2019100000","2019年度","02210","青森県 平川市","","34601","9533"
"2019100000","2019年度","02301","青森県 平内町","","21709","4666"
"2019100000","2019年度","02303","青森県 今別町","","12527","1808"
"2019100000","2019年度","02304","青森県 蓬田村","","8084","1960"
"2019100000","2019年度","02307","青森県 外ヶ浜町","","23030","3031"
"2019100000","2019年度","02321","青森県 鰺ヶ沢町","","34308","7984"
"2019100000","2019年度","02323","青森県 深浦町","","48890","6498"
"2019100000","2019年度","02343","青森県 西目屋村","","24602","1997"
"2019100000","2019年度","02361","青森県 藤崎町","","3729","3729"
"2019100000","2019年度","02362","青森県 大鰐町","","16343","3671"
"2019100000","2019年度","02367","青森県 田舎館村","","2235","2235"
"2019100000","2019年度","02381","青森県 板柳町","","4188","4188"
"2019100000","2019年度","02384","青森県 鶴田町","","4643","4523"
"2019100000","2019年度","02387","青森県 中泊町","","21634","6753"
"2019100000","2019年度","02401","青森県 野辺地町","","8168","2744"
"2019100000","2019年度","02402","青森県 七戸町","","33723","11631"
"2019100000","2019年度","02405","青森県 六戸町","","8389","5708"
"2019100000","2019年度","02406","青森県 横浜町","","12638","3068"
"2019100000","2019年度","02408","青森県 東北町","","32650","11491"
"2019100000","2019年度","02411","青森県 六ヶ所村","","25268","11231"
"2019100000","2019年度","02412","青森県 おいらせ町","","7196","5897"
"2019100000","2019年度","02423","青森県 大間町","","5210","1432"
"2019100000","2019年度","02424","青森県 東通村","","29527","6394"
"2019100000","2019年度","02425","青森県 風間浦村","","6955","544"
"2019100000","2019年度","02426","青森県 佐井村","","13504","1669"
"2019100000","2019年度","02441","青森県 三戸町","","15179","5382"
"2019100000","2019年度","02442","青森県 五戸町","","17767","8501"
"2019100000","2019年度","02443","青森県 田子町","","24198","4747"
"2019100000","2019年度","02445","青森県 南部町","","15312","7615"
"2019100000","2019年度","02446","青森県 階上町","","9400","3932"
"2019100000","2019年度","02450","青森県 新郷村","","15077","3327"
"2019100000","2019年度","03201","岩手県 盛岡市","","88647","23656"
"2019100000","2019年度","03202","岩手県 宮古市","","125915","11758"
"2019100000","2019年度","03203","岩手県 大船渡市","","32251","5429"
"2019100000","2019年度","03205","岩手県 花巻市","","90839","32339"
"2019100000","2019年度","03206","岩手県 北上市","","43755","20325"
"2019100000","2019年度","03207","岩手県 久慈市","","62350","8936"
"2019100000","2019年度","03208","岩手県 遠野市","","82597","14247"
"2019100000","2019年度","03209","岩手県 一関市","","125642","47901"
"2019100000","2019年度","03210","岩手県 陸前高田市","","23194","4915"
"2019100000","2019年度","03211","岩手県 釜石市","","44034","5154"
"2019100000","2019年度","03213","岩手県 二戸市","","42042","10917"
"2019100000","2019年度","03214","岩手県 八幡平市","","86230","20119"
"2019100000","2019年度","03215","岩手県 奥州市","","99330","44779"
"2019100000","2019年度","03216","岩手県 滝沢市","","18246","8876"
"2019100000","2019年度","03301","岩手県 雫石町","","60882","12964"
"2019100000","2019年度","03302","岩手県 葛巻町","","43496","6442"
"2019100000","2019年度","03303","岩手県 岩手町","","36046","8940"
"2019100000","2019年度","03321","岩手県 紫波町","","23898","10073"
"2019100000","2019年度","03322","岩手県 矢巾町","","6732","5151"
"2019100000","2019年度","03366","岩手県 西和賀町","","59074","10898"
"2019100000","2019年度","03381","岩手県 金ケ崎町","","17976","10894"
"2019100000","2019年度","03402","岩手県 平泉町","","6339","3270"
"2019100000","2019年度","03441","岩手県 住田町","","33484","3451"
"2019100000","2019年度","03461","岩手県 大槌町","","20042","2426"
"2019100000","2019年度","03482","岩手県 山田町","","26281","2650"
"2019100000","2019年度","03483","岩手県 岩泉町","","99236","7002"
"2019100000","2019年度","03484","岩手県 田野畑村","","15619","2143"
"2019100000","2019年度","03485","岩手県 普代村","","6966","1135"
"2019100000","2019年度","03501","岩手県 軽米町","","24582","5861"
"2019100000","2019年度","03503","岩手県 野田村","","8080","1012"
"2019100000","2019年度","03506","岩手県 九戸村","","13402","3493"
"2019100000","2019年度","03507","岩手県 洋野町","","30292","6319"
"2019100000","2019年度","03524","岩手県 一戸町","","30003","7927"
"2019100000","2019年度","04100","宮城県 仙台市","","78635","34179"
"2019100000","2019年度","04202","宮城県 石巻市","","55455","24088"
"2019100000","2019年度","04203","宮城県 塩竈市","","1737","1472"
"2019100000","2019年度","04205","宮城県 気仙沼市","","33244","9106"
"2019100000","2019年度","04206","宮城県 白石市","","28648","9101"
"2019100000","2019年度","04207","宮城県 名取市","","9817","7073"
"2019100000","2019年度","04208","宮城県 角田市","","14753","9098"
"2019100000","2019年度","04209","宮城県 多賀城市","","1969","1911"
"2019100000","2019年度","04211","宮城県 岩沼市","","6045","4634"
"2019100000","2019年度","04212","宮城県 登米市","","53612","30617"
