"","","","","/項目 コード","D3201","D320101","D320102","D320103","D320108","D320111","D320113","D320115","D320116","D320117","D320118","D320119","D320120","D320121","D320122","D3202","D3203102"
"調査年 コード","調査年","地域 コード","地域","/項目","D3201_歳入決算総額（市町村財政）【千円】","D320101_地方税（市町村財政）【千円】","D320102_地方譲与税（市町村財政）【千円】","D320103_利子割交付金（市町村財政）【千円】","D320108_地方交付税（市町村財政）【千円】","D320111_使用料（市町村財政）【千円】","D320113_国庫支出金（市町村財政）【千円】","D320115_県支出金（市町村財政）【千円】","D320116_財産収入（市町村財政）【千円】","D320117_寄附金（市町村財政）【千円】","D320118_繰入金（市町村財政）【千円】","D320119_繰越金（市町村財政）【千円】","D320120_諸収入（市町村財政）【千円】","D320121_地方債（市町村財政）【千円】","D320122_地方特例交付金（市町村財政）【千円】","D3202_自主財源額（市町村財政）【千円】","D3203102_小学校費（市町村財政）【千円】"
"2006100000","2006年度","09367","（旧）栃木県 岩舟町","","5103742","1950901","252303","6373","1265269","79005","202290","228323","4682","900","114581","293318","98152","247400","46486","2574671","106156"
"2006100000","2006年度","11226","（旧）埼玉県 鳩ヶ谷市","","17428068","7892254","555101","22972","1676591","303992","1561032","1208997","73375","504","362467","647531","485832","1742600","200402","9850540","231124"
"2006100000","2006年度","23481","（旧）愛知県 一色町","","7047615","2938778","279112","13869","1036217","228177","253015","382336","9783","2000","198446","325648","253352","623600","96199","3975210","193953"
"2006100000","2006年度","23482","（旧）愛知県 吉良町","","6592487","3290108","348264","12164","503804","203434","152652","383247","139250","308","13592","368061","225817","379800","76948","4261024","122717"
"2006100000","2006年度","23483","（旧）愛知県 幡豆町","","4130554","1498517","179749","6606","750448","103829","186323","178369","20585","1771","296026","158825","189089","262300","42745","2294789","229692"
"2006100000","2006年度","32304","（旧）島根県 東出雲町","","4906183","1354775","184307","5232","1655927","156271","304743","221795","59999","442","15","233494","42904","341875","32290","2008842","315407"
"2006100000","2006年度","32401","（旧）島根県 斐川町","","11000060","3192599","751501","10550","2670275","235931","417431","673964","214842","10904","364000","157844","643517","880800","94196","5124962","126836"
"2005100000","2005年度","03422","（旧）岩手県 藤沢町","","5362295","591422","198740","2712","2850438","124795","138183","259931","65970","13389","380905","22901","116568","270800","16211","1495326","74476"
"2005100000","2005年度","09321","（旧）栃木県 西方町","","2526049","1012264","75996","3513","740481","35904","67653","78583","1158","396","41714","69882","46528","182400","22584","1213321","37512"
"2005100000","2005年度","09367","（旧）栃木県 岩舟町","","5750342","1905746","170642","9425","1323843","83945","297711","420301","2116","2671","52245","221840","102634","793200","58503","2400633","110153"
"2005100000","2005年度","11226","（旧）埼玉県 鳩ヶ谷市","","16820562","7621221","319917","33289","1923276","269747","1620348","1015753","267813","2340","263731","484101","517126","1577000","244735","9516697","254331"
"2005100000","2005年度","23481","（旧）愛知県 一色町","","8230422","2922492","206315","18112","1151826","236300","370245","1168353","3975","2159","189522","402254","248580","792400","120086","4024615","212915"
"2005100000","2005年度","23482","（旧）愛知県 吉良町","","6614727","3187787","253440","16478","628742","188702","199748","363844","132387","414","23274","266793","292251","497100","99409","4106528","120120"
"2005100000","2005年度","23483","（旧）愛知県 幡豆町","","4081587","1493006","127024","9039","798746","108544","110889","159485","15281","12300","242196","230683","175673","295900","56127","2303921","67259"
"2005100000","2005年度","32304","（旧）島根県 東出雲町","","5024927","1325859","121379","6991","1803653","153680","388716","194180","25940","304","38020","166986","72676","403200","39550","1921240","457671"
"2005100000","2005年度","32401","（旧）島根県 斐川町","","11676129","3351884","599820","14233","2905877","228085","459753","680184","46212","18645","226050","233249","1369580","765800","106340","5757959","152580"
"2004100000","2004年度","03422","（旧）岩手県 藤沢町","","5814712","587408","179687","4907","2848905","86862","286294","279759","***","***","366427","30706","104818","465900","17941","1592866","74459"
"2004100000","2004年度","09321","（旧）栃木県 西方町","","2739244","937001","71024","6082","723567","29634","65212","99074","***","***","187500","62401","26459","346200","21721","1254495","22644"
"2004100000","2004年度","09367","（旧）栃木県 岩舟町","","6194071","1905427","136407","16352","1269680","79169","316346","433957","***","***","234070","252896","117438","1056300","56785","2629618","117854"
"2004100000","2004年度","11226","（旧）埼玉県 鳩ヶ谷市","","16040580","7220496","221855","45040","2107705","214416","1499231","906430","***","***","239550","584170","520506","1509600","241356","8935218","234582"
"2004100000","2004年度","23481","（旧）愛知県 一色町","","7244063","2851366","163157","27306","1239160","236500","292574","360661","***","***","148812","420725","227919","755300","114305","3911096","209653"
"2004100000","2004年度","23482","（旧）愛知県 吉良町","","6542242","3076893","216508","25267","689611","174737","262670","476788","***","***","47189","235827","201332","554700","97423","3765800","221120"
"2004100000","2004年度","23483","（旧）愛知県 幡豆町","","4027798","1451605","103464","14064","806884","104626","131467","156271","***","***","190776","261457","142063","341500","57400","2195265","46517"
"2004100000","2004年度","32304","（旧）島根県 東出雲町","","4847226","1272711","100082","11991","1783140","157660","164315","241085","***","***","4","285142","156725","320125","39723","2036663","101155"
"2004100000","2004年度","32401","（旧）島根県 斐川町","","13405388","3260182","550595","24477","2546602","215835","488333","1068725","***","***","800155","205060","2013050","1329875","122686","6873213","146714"
"2003100000","2003年度","03422","（旧）岩手県 藤沢町","","6867450","576598","153517","4967","2930982","77491","790715","586866","***","***","153636","62150","133762","950700","17531","1303595","78050"
