"","","","","/項目 コード","D1202","D2201","D2202","D2203","D2204","D2205","D2206","D2209","D2210","D2211","D2212","D3205","D420102","D420202"
"調査年 コード","調査年","地域 コード","地域","/項目","D1202_一般行政部門職員数（市区町村）【人】","D2201_財政力指数（市町村財政）【‐】","D2202_実質収支比率（市町村財政）【％】","D2203_経常収支比率（市町村財政）【％】","D2204_公債費比率（市町村財政）【％】","D2205_基準財政収入額（市町村財政）【千円】","D2206_基準財政需要額（市町村財政）【千円】","D2209_一般財源（市町村財政）【千円】","D2210_投資的経費（市町村財政）【千円】","D2211_実質公債費比率（市町村財政）【％】","D2212_将来負担比率（市町村財政）【％】","D3205_地方債現在高（市町村財政）【千円】","D420102_市町村民税【千円】","D420202_固定資産税（市町村税）【千円】"
"2006100000","2006年度","11226","（旧）埼玉県 鳩ヶ谷市","","312","0.78","7.8","88.4","15.1","6332572","7824103","10324348","2289702","***","***","***","3350081","3335301"
"2006100000","2006年度","23481","（旧）愛知県 一色町","","178","0.72","5.0","83.0","5.8","2798760","3712374","4350306","1099301","***","***","***","***","***"
"2006100000","2006年度","23482","（旧）愛知県 吉良町","","169","0.86","8.5","83.9","6.1","3122675","3520278","4219124","519524","***","***","***","***","***"
"2006100000","2006年度","23483","（旧）愛知県 幡豆町","","103","0.67","4.6","90.5","6.3","1482726","2169239","2471459","525911","***","***","***","***","***"
"2006100000","2006年度","32304","（旧）島根県 東出雲町","","79","0.43","3.4","91.2","23.6","1346212","2940918","3227299","463614","***","***","***","***","***"
"2006100000","2006年度","32401","（旧）島根県 斐川町","","142","0.57","1.7","94.7","21.1","3515844","6074574","6708571","1202365","***","***","***","***","***"
"2005100000","2005年度","03422","（旧）岩手県 藤沢町","","98","0.21","1.1","84.6","16.6","757028","3412420","3656811","722902","***","***","***","***","***"
"2005100000","2005年度","09321","（旧）栃木県 西方町","","69","0.59","12.4","81.2","11.0","930243","1576590","1851325","81700","***","***","***","***","***"
"2005100000","2005年度","09367","（旧）栃木県 岩舟町","","123","0.61","8.2","89.1","11.9","1825398","3003039","3458734","1127128","***","***","***","***","***"
"2005100000","2005年度","11226","（旧）埼玉県 鳩ヶ谷市","","321","0.75","5.1","85.7","14.5","5797445","7508978","10109149","1805920","***","***","***","3027578","3375428"
"2005100000","2005年度","23481","（旧）愛知県 一色町","","182","0.69","7.1","81.5","5.7","2665505","3693971","4400719","2167119","***","***","***","***","***"
"2005100000","2005年度","23482","（旧）愛知県 吉良町","","171","0.84","8.4","86.6","6.7","2954471","3453605","4169378","777942","***","***","***","***","***"
"2005100000","2005年度","23483","（旧）愛知県 幡豆町","","109","0.66","3.7","90.0","5.5","1417004","2141217","2474903","459551","***","***","***","***","***"
"2005100000","2005年度","32304","（旧）島根県 東出雲町","","84","0.41","6.4","87.9","23.3","1233883","2952106","3290441","557064","***","***","***","***","***"
"2005100000","2005年度","32401","（旧）島根県 斐川町","","152","0.55","2.1","93.3","21.2","3223851","6000603","6963921","1160090","***","***","***","***","***"
"2004100000","2004年度","03422","（旧）岩手県 藤沢町","","107","0.21","1.5","88.6","16.0","740966","3375823","3633941","1171479","***","***","***","***","***"
"2004100000","2004年度","09321","（旧）栃木県 西方町","","72","0.60","9.4","84.3","11.1","899897","1525302","1753313","286116","***","***","***","***","***"
"2004100000","2004年度","09367","（旧）栃木県 岩舟町","","125","0.60","6.2","88.2","11.0","1789684","2911144","3368299","1477985","***","***","***","***","***"
"2004100000","2004年度","11226","（旧）埼玉県 鳩ヶ谷市","","338","0.72","5.2","87.0","13.3","5597648","7478106","9791412","1581722","***","***","***","2752563","3278260"
"2004100000","2004年度","23481","（旧）愛知県 一色町","","187","0.66","9.1","81.1","6.2","2548063","3631166","4367988","1047803","***","***","***","***","***"
"2004100000","2004年度","23482","（旧）愛知県 吉良町","","173","0.81","6.0","83.2","6.5","2847948","3381001","4080435","979294","***","***","***","***","***"
"2004100000","2004年度","23483","（旧）愛知県 幡豆町","","112","0.65","9.2","89.5","5.6","1366547","2079658","2419353","340242","***","***","***","***","***"
"2004100000","2004年度","32304","（旧）島根県 東出雲町","","87","0.41","4.9","89.8","23.2","1215214","2897564","3195656","200051","***","***","***","***","***"
"2004100000","2004年度","32401","（旧）島根県 斐川町","","153","0.58","1.8","97.6","20.0","3577994","5974273","6480065","1745410","***","***","***","***","***"
"2003100000","2003年度","03422","（旧）岩手県 藤沢町","","110","0.20","2.3","82.2","16.1","690469","3408122","3678628","2173495","***","***","***","***","***"
"2003100000","2003年度","09321","（旧）栃木県 西方町","","71","0.58","6.7","82.3","9.6","926797","1534796","1736692","1118571","***","***","***","***","***"
"2003100000","2003年度","09367","（旧）栃木県 岩舟町","","128","0.58","7.1","81.5","10.8","1769492","2944498","3383455","2187825","***","***","***","***","***"
"2003100000","2003年度","11226","（旧）埼玉県 鳩ヶ谷市","","341","0.70","5.0","84.4","13.5","5431944","7443047","9622314","2782817","***","***","***","2695299","3142043"
"2003100000","2003年度","23481","（旧）愛知県 一色町","","188","0.64","9.5","78.5","6.6","2443798","3679395","4399317","1240671","***","***","***","***","***"
"2003100000","2003年度","23482","（旧）愛知県 吉良町","","176","0.79","5.4","84.3","7.3","2837119","3441361","4100050","1883129","***","***","***","***","***"
"2003100000","2003年度","23483","（旧）愛知県 幡豆町","","116","0.63","10.4","84.7","5.6","1395240","2074905","2406965","410267","***","***","***","***","***"
"2003100000","2003年度","32304","（旧）島根県 東出雲町","","88","0.40","8.3","86.4","22.2","1148626","2866590","3177420","819027","***","***","***","***","***"
"2003100000","2003年度","32401","（旧）島根県 斐川町","","151","0.56","2.4","97.7","20.8","2897474","5821664","7042151","4819153","***","***","***","***","***"
"2002100000","2002年度","03422","（旧）岩手県 藤沢町","","116","0.19","1.1","82.5","17.4","720943","3668740","3956655","1820695","***","***","***","***","***"
"2002100000","2002年度","09321","（旧）栃木県 西方町","","72","0.53","3.8","88.8","9.8","1024918","1699586","1888000","701104","***","***","***","***","***"
"2002100000","2002年度","09367","（旧）栃木県 岩舟町","","130","0.56","5.4","85.2","13.0","1874033","3247666","3653169","1596607","***","***","***","***","***"
"2002100000","2002年度","11226","（旧）埼玉県 鳩ヶ谷市","","341","0.67","3.7","85.1","12.7","5564462","8071045","10313853","3733270","***","***","***","2774736","3229160"
"2002100000","2002年度","23481","（旧）愛知県 一色町","","188","0.63","9.4","77.5","7.2","2515658","3978231","4751053","1477065","***","***","***","***","***"
"2002100000","2002年度","23482","（旧）愛知県 吉良町","","173","0.75","6.8","83.1","7.7","2908836","3711459","4442726","1269420","***","***","***","***","***"
"2002100000","2002年度","23483","（旧）愛知県 幡豆町","","115","0.59","6.7","83.5","5.4","1420357","2287171","2648657","1633718","***","***","***","***","***"
"2002100000","2002年度","32304","（旧）島根県 東出雲町","","89","0.39","7.1","86.1","20.9","1197588","2990327","3272452","994981","***","***","***","***","***"
"2002100000","2002年度","32401","（旧）島根県 斐川町","","149","0.56","0.7","106.2","16.5","3939165","6135561","6212870","4181792","***","***","***","***","***"
"2001100000","2001年度","03422","（旧）岩手県 藤沢町","","153","0.19","1.4","81.8","17.0","745564","3845559","4090033","1751467","***","***","***","***","***"
"2001100000","2001年度","09321","（旧）栃木県 西方町","","72","0.48","6.0","80.8","10.3","966693","1831347","2107760","435642","***","***","***","***","***"
"2001100000","2001年度","09367","（旧）栃木県 岩舟町","","128","0.54","6.7","80.8","12.4","1891732","3399793","3809543","1194096","***","***","***","***","***"
"2001100000","2001年度","11226","（旧）埼玉県 鳩ヶ谷市","","332","0.66","5.2","84.2","10.9","5598299","8317026","10401103","4930302","***","***","***","2868718","3037721"
"2001100000","2001年度","23481","（旧）愛知県 一色町","","193","0.62","6.3","77.1","7.5","2623857","4172188","4775912","1091277","***","***","***","***","***"
"2001100000","2001年度","23482","（旧）愛知県 吉良町","","176","0.74","6.5","81.6","7.8","2971247","3904638","4552934","1286656","***","***","***","***","***"
"2001100000","2001年度","23483","（旧）愛知県 幡豆町","","117","0.57","7.8","81.0","5.3","1441997","2426598","2746405","1121311","***","***","***","***","***"
"2001100000","2001年度","32304","（旧）島根県 東出雲町","","90","0.39","6.5","88.6","19.9","1187878","2965468","3311246","515906","***","***","***","***","***"
"2001100000","2001年度","32401","（旧）島根県 斐川町","","150","0.51","0.6","84.4","16.9","3465703","6265984","7708287","3719052","***","***","***","***","***"
"2000100000","2000年度","03422","（旧）岩手県 藤沢町","","162","0.19","1.6","80.1","17.0","716170","3915222","4190564","1988529","***","***","***","***","***"
"2000100000","2000年度","09321","（旧）栃木県 西方町","","75","0.45","9.3","79.3","9.5","880390","1897361","2201698","377304","***","***","***","***","***"
"2000100000","2000年度","09367","（旧）栃木県 岩舟町","","135","0.54","4.7","79.2","11.1","1873171","3536505","3928267","1612438","***","***","***","***","***"
"2000100000","2000年度","11226","（旧）埼玉県 鳩ヶ谷市","","337","0.66","5.4","80.9","9.7","5483010","8561969","10657979","6391386","***","***","***","2782303","2990017"
"2000100000","2000年度","23481","（旧）愛知県 一色町","","200","0.62","7.4","75.2","7.9","2659634","4288502","4863501","1049059","***","***","***","***","***"
"2000100000","2000年度","23482","（旧）愛知県 吉良町","","184","0.73","7.4","78.3","8.1","2903999","4024152","4667940","1969776","***","***","***","***","***"
