"","","","","/項目 コード","C120110","C120120","C120130"
"調査年 コード","調査年","地域 コード","地域","/項目","C120110_課税対象所得【千円】","C120120_納税義務者数（所得割）【人】","C120130_納税義務者数（均等割）【人】"
"1998100000","1998年度","32401","（旧）島根県 斐川町","","34118922","11426","***"
"1997100000","1997年度","03422","（旧）岩手県 藤沢町","","9126927","3619","***"
"1997100000","1997年度","09321","（旧）栃木県 西方町","","9168203","2811","***"
"1997100000","1997年度","09367","（旧）栃木県 岩舟町","","25823986","8086","***"
"1997100000","1997年度","11226","（旧）埼玉県 鳩ヶ谷市","","87821543","24782","***"
"1997100000","1997年度","23481","（旧）愛知県 一色町","","38888274","10981","***"
"1997100000","1997年度","23482","（旧）愛知県 吉良町","","34603732","9535","***"
"1997100000","1997年度","23483","（旧）愛知県 幡豆町","","20100275","5951","***"
"1997100000","1997年度","32304","（旧）島根県 東出雲町","","14691922","5004","***"
"1997100000","1997年度","32401","（旧）島根県 斐川町","","33003438","11236","***"
"1996100000","1996年度","03422","（旧）岩手県 藤沢町","","8503497","3496","***"
"1996100000","1996年度","09321","（旧）栃木県 西方町","","8528838","2786","***"
"1996100000","1996年度","09367","（旧）栃木県 岩舟町","","24890781","7901","***"
"1996100000","1996年度","11226","（旧）埼玉県 鳩ヶ谷市","","87769235","24966","***"
"1996100000","1996年度","23481","（旧）愛知県 一色町","","38101143","10935","***"
"1996100000","1996年度","23482","（旧）愛知県 吉良町","","33626767","9374","***"
"1996100000","1996年度","23483","（旧）愛知県 幡豆町","","19495985","5881","***"
"1996100000","1996年度","32304","（旧）島根県 東出雲町","","14245653","4921","***"
"1996100000","1996年度","32401","（旧）島根県 斐川町","","31766617","11048","***"
"1995100000","1995年度","03422","（旧）岩手県 藤沢町","","8494941","3516","***"
"1995100000","1995年度","09321","（旧）栃木県 西方町","","8412615","2758","***"
"1995100000","1995年度","09367","（旧）栃木県 岩舟町","","24448016","7710","***"
"1995100000","1995年度","11226","（旧）埼玉県 鳩ヶ谷市","","88633841","24874","***"
"1995100000","1995年度","23481","（旧）愛知県 一色町","","38821697","10977","***"
"1995100000","1995年度","23482","（旧）愛知県 吉良町","","33129574","9263","***"
"1995100000","1995年度","23483","（旧）愛知県 幡豆町","","19572114","5924","***"
"1995100000","1995年度","32304","（旧）島根県 東出雲町","","14047360","4886","***"
"1995100000","1995年度","32401","（旧）島根県 斐川町","","32115511","11066","***"
"1994100000","1994年度","03422","（旧）岩手県 藤沢町","","7702307","3332","***"
"1994100000","1994年度","09321","（旧）栃木県 西方町","","8517577","2823","***"
"1994100000","1994年度","09367","（旧）栃木県 岩舟町","","23669673","7690","***"
"1994100000","1994年度","11226","（旧）埼玉県 鳩ヶ谷市","","90562770","25125","***"
"1994100000","1994年度","23481","（旧）愛知県 一色町","","40447237","11128","***"
"1994100000","1994年度","23482","（旧）愛知県 吉良町","","32975700","9277","***"
"1994100000","1994年度","23483","（旧）愛知県 幡豆町","","19600085","5933","***"
"1994100000","1994年度","32304","（旧）島根県 東出雲町","","13501525","4779","***"
"1994100000","1994年度","32401","（旧）島根県 斐川町","","29786000","10710","***"
"1993100000","1993年度","03422","（旧）岩手県 藤沢町","","7617421","3325","***"
"1993100000","1993年度","09321","（旧）栃木県 西方町","","8786197","2766","***"
"1993100000","1993年度","09367","（旧）栃木県 岩舟町","","24320038","7640","***"
"1993100000","1993年度","11226","（旧）埼玉県 鳩ヶ谷市","","90904359","25364","***"
"1993100000","1993年度","23481","（旧）愛知県 一色町","","39605093","11095","***"
"1993100000","1993年度","23482","（旧）愛知県 吉良町","","33153735","9250","***"
"1993100000","1993年度","23483","（旧）愛知県 幡豆町","","19658605","5991","***"
"1993100000","1993年度","32304","（旧）島根県 東出雲町","","12900153","4652","***"
"1993100000","1993年度","32401","（旧）島根県 斐川町","","27409029","10403","***"
"1992100000","1992年度","03422","（旧）岩手県 藤沢町","","6970610","3149","***"
"1992100000","1992年度","09321","（旧）栃木県 西方町","","8907039","2731","***"
"1992100000","1992年度","09367","（旧）栃木県 岩舟町","","25672507","7462","***"
"1992100000","1992年度","11226","（旧）埼玉県 鳩ヶ谷市","","90408149","25101","***"
"1992100000","1992年度","23481","（旧）愛知県 一色町","","39162200","10827","***"
"1992100000","1992年度","23482","（旧）愛知県 吉良町","","34485212","9129","***"
"1992100000","1992年度","23483","（旧）愛知県 幡豆町","","20343783","5940","***"
"1992100000","1992年度","32304","（旧）島根県 東出雲町","","13323648","4604","***"
"1992100000","1992年度","32401","（旧）島根県 斐川町","","26529245","10092","***"
"1991100000","1991年度","03422","（旧）岩手県 藤沢町","","6527125","3039","***"
"1991100000","1991年度","09321","（旧）栃木県 西方町","","7600949","2628","***"
"1991100000","1991年度","09367","（旧）栃木県 岩舟町","","22973079","7111","***"
"1991100000","1991年度","11226","（旧）埼玉県 鳩ヶ谷市","","85919163","24541","***"
"1991100000","1991年度","23481","（旧）愛知県 一色町","","35604796","10562","***"
"1991100000","1991年度","23482","（旧）愛知県 吉良町","","30672096","8890","***"
"1991100000","1991年度","23483","（旧）愛知県 幡豆町","","18207613","5818","***"
"1991100000","1991年度","32304","（旧）島根県 東出雲町","","11742610","4474","***"
"1991100000","1991年度","32401","（旧）島根県 斐川町","","24031995","9765","***"
"1990100000","1990年度","03422","（旧）岩手県 藤沢町","","5774977","2817","***"
"1990100000","1990年度","09321","（旧）栃木県 西方町","","6974743","2514","***"
"1990100000","1990年度","09367","（旧）栃木県 岩舟町","","19829246","6723","***"
"1990100000","1990年度","11226","（旧）埼玉県 鳩ヶ谷市","","76036253","23627","***"
"1990100000","1990年度","23481","（旧）愛知県 一色町","","33852276","10239","***"
"1990100000","1990年度","23482","（旧）愛知県 吉良町","","28920855","8727","***"
"1990100000","1990年度","23483","（旧）愛知県 幡豆町","","16577884","5693","***"
"1990100000","1990年度","32304","（旧）島根県 東出雲町","","10591528","4306","***"
"1990100000","1990年度","32401","（旧）島根県 斐川町","","21806861","9322","***"
"1989100000","1989年度","03422","（旧）岩手県 藤沢町","","5289411","2782","***"
"1989100000","1989年度","09321","（旧）栃木県 西方町","","7312687","2601","***"
"1989100000","1989年度","09367","（旧）栃木県 岩舟町","","17929504","6762","***"
"1989100000","1989年度","11226","（旧）埼玉県 鳩ヶ谷市","","69845632","23236","***"
"1989100000","1989年度","23481","（旧）愛知県 一色町","","31719588","10503","***"
"1989100000","1989年度","23482","（旧）愛知県 吉良町","","25839414","8825","***"
"1989100000","1989年度","23483","（旧）愛知県 幡豆町","","15749017","5814","***"
"1989100000","1989年度","32304","（旧）島根県 東出雲町","","10548839","4483","***"
"1989100000","1989年度","32401","（旧）島根県 斐川町","","20935361","9693","***"
"1988100000","1988年度","03422","（旧）岩手県 藤沢町","","5004002","2848","***"
"1988100000","1988年度","09321","（旧）栃木県 西方町","","5831098","2575","***"
"1988100000","1988年度","09367","（旧）栃木県 岩舟町","","16477455","6621","***"
"1988100000","1988年度","11226","（旧）埼玉県 鳩ヶ谷市","","66526048","22711","***"
"1988100000","1988年度","23481","（旧）愛知県 一色町","","28858221","10219","***"
"1988100000","1988年度","23482","（旧）愛知県 吉良町","","23924817","8805","***"
"1988100000","1988年度","23483","（旧）愛知県 幡豆町","","14548394","5738","***"
"1988100000","1988年度","32304","（旧）島根県 東出雲町","","9712436","4446","***"
"1988100000","1988年度","32401","（旧）島根県 斐川町","","18892820","9350","***"
"1987100000","1987年度","03422","（旧）岩手県 藤沢町","","5219990","3008","***"
"1987100000","1987年度","09321","（旧）栃木県 西方町","","5614116","2580","***"
"1987100000","1987年度","09367","（旧）栃木県 岩舟町","","15203198","6677","***"
"1987100000","1987年度","11226","（旧）埼玉県 鳩ヶ谷市","","59896018","22219","***"
"1987100000","1987年度","23481","（旧）愛知県 一色町","","26116161","10063","***"
"1987100000","1987年度","23482","（旧）愛知県 吉良町","","22554218","8683","***"
"1987100000","1987年度","23483","（旧）愛知県 幡豆町","","13732140","5679","***"
"1987100000","1987年度","32304","（旧）島根県 東出雲町","","9386658","4404","***"
"1987100000","1987年度","32401","（旧）島根県 斐川町","","18824790","9548","***"
"1986100000","1986年度","03422","（旧）岩手県 藤沢町","","5019011","2934","***"
"1986100000","1986年度","09321","（旧）栃木県 西方町","","5333342","2490","***"
"1986100000","1986年度","09367","（旧）栃木県 岩舟町","","14646463","6549","***"
"1986100000","1986年度","11226","（旧）埼玉県 鳩ヶ谷市","","57360613","22024","***"
"1986100000","1986年度","23481","（旧）愛知県 一色町","","25099298","9941","***"
"1986100000","1986年度","23482","（旧）愛知県 吉良町","","21830535","8521","***"
"1986100000","1986年度","23483","（旧）愛知県 幡豆町","","12822897","5523","***"
"1986100000","1986年度","32304","（旧）島根県 東出雲町","","8949743","4368","***"
"1986100000","1986年度","32401","（旧）島根県 斐川町","","17039434","8917","***"
"1985100000","1985年度","03422","（旧）岩手県 藤沢町","","4566744","2768","***"
"1985100000","1985年度","09321","（旧）栃木県 西方町","","5294671","2435","***"
"1985100000","1985年度","09367","（旧）栃木県 岩舟町","","14089430","6539","***"
"1985100000","1985年度","11226","（旧）埼玉県 鳩ヶ谷市","","55051383","21387","***"
"1985100000","1985年度","23481","（旧）愛知県 一色町","","23369098","9470","***"
"1985100000","1985年度","23482","（旧）愛知県 吉良町","","20112177","8293","***"
"1985100000","1985年度","23483","（旧）愛知県 幡豆町","","12034812","5442","***"
"1985100000","1985年度","32304","（旧）島根県 東出雲町","","8384578","4213","***"
"1985100000","1985年度","32401","（旧）島根県 斐川町","","17072503","9148","***"
