"","","","","/項目 コード","H8101","H8102","H8103","H810402","H810408","H810409"
"調査年 コード","調査年","地域 コード","地域","/項目","H8101_都市計画区域指定面積【ｈａ】","H8102_市街化調整区域面積【ｈａ】","H8103_市街化区域面積【ｈａ】","H810402_住居地域面積【ｈａ】","H810408_商業・近隣商業地域面積【ｈａ】","H810409_工業・準工業地域面積【ｈａ】"
"1999100000","1999年度","23483","（旧）愛知県 幡豆町","","***","2373","***","119.3","5.0","37.4"
"1999100000","1999年度","32304","（旧）島根県 東出雲町","","***","1563","***","158.6","12.8","125.5"
"1999100000","1999年度","32401","（旧）島根県 斐川町","","***","0","***","137.0","79.0","167.0"
"1998100000","1998年度","03422","（旧）岩手県 藤沢町","","***","0","***","0.0","0.0","0.0"
"1998100000","1998年度","09321","（旧）栃木県 西方町","","***","0","***","54.0","4.0","0.0"
"1998100000","1998年度","09367","（旧）栃木県 岩舟町","","***","4285","***","229.1","6.8","32.0"
"1998100000","1998年度","11226","（旧）埼玉県 鳩ヶ谷市","","***","0","***","398.9","27.0","69.7"
"1998100000","1998年度","23481","（旧）愛知県 一色町","","***","1699","***","228.7","11.0","15.0"
"1998100000","1998年度","23482","（旧）愛知県 吉良町","","***","3284","***","205.4","8.0","56.0"
"1998100000","1998年度","23483","（旧）愛知県 幡豆町","","***","2371","***","119.3","5.0","37.4"
"1998100000","1998年度","32304","（旧）島根県 東出雲町","","***","1563","***","158.6","12.8","125.5"
"1998100000","1998年度","32401","（旧）島根県 斐川町","","***","0","***","137.0","79.0","167.0"
"1997100000","1997年度","03422","（旧）岩手県 藤沢町","","***","0","***","0.0","0.0","0.0"
"1997100000","1997年度","09321","（旧）栃木県 西方町","","***","0","***","54.0","4.0","0.0"
"1997100000","1997年度","09367","（旧）栃木県 岩舟町","","***","4285","***","227.2","6.8","32.0"
"1997100000","1997年度","11226","（旧）埼玉県 鳩ヶ谷市","","***","0","***","398.9","27.0","69.7"
"1997100000","1997年度","23481","（旧）愛知県 一色町","","***","1699","***","228.7","11.0","15.0"
"1997100000","1997年度","23482","（旧）愛知県 吉良町","","***","3284","***","205.4","8.0","56.0"
"1997100000","1997年度","23483","（旧）愛知県 幡豆町","","***","2371","***","119.3","5.0","37.4"
"1997100000","1997年度","32304","（旧）島根県 東出雲町","","***","1563","***","158.6","12.8","125.5"
"1997100000","1997年度","32401","（旧）島根県 斐川町","","***","0","***","137.0","79.0","167.0"
"1996100000","1996年度","03422","（旧）岩手県 藤沢町","","***","0","***","0.0","0.0","0.0"
"1996100000","1996年度","09321","（旧）栃木県 西方町","","***","0","***","54.0","4.0","0.0"
"1996100000","1996年度","09367","（旧）栃木県 岩舟町","","***","4285","***","227.2","6.8","32.0"
"1996100000","1996年度","11226","（旧）埼玉県 鳩ヶ谷市","","***","0","***","398.9","27.0","69.7"
"1996100000","1996年度","23481","（旧）愛知県 一色町","","***","1703","***","228.7","11.0","15.0"
"1996100000","1996年度","23482","（旧）愛知県 吉良町","","***","3290","***","205.4","8.0","56.0"
"1996100000","1996年度","23483","（旧）愛知県 幡豆町","","***","2384","***","119.3","5.0","37.4"
"1996100000","1996年度","32304","（旧）島根県 東出雲町","","***","1563","***","158.6","12.8","125.5"
"1996100000","1996年度","32401","（旧）島根県 斐川町","","***","0","***","137.0","79.0","167.0"
"1995100000","1995年度","03422","（旧）岩手県 藤沢町","","***","0","***","-","-","-"
"1995100000","1995年度","09321","（旧）栃木県 西方町","","***","0","***","-","-","-"
"1995100000","1995年度","09367","（旧）栃木県 岩舟町","","***","4285","***","-","-","-"
"1995100000","1995年度","11226","（旧）埼玉県 鳩ヶ谷市","","***","0","***","-","-","-"
"1995100000","1995年度","23481","（旧）愛知県 一色町","","***","1699","***","-","-","-"
"1995100000","1995年度","23482","（旧）愛知県 吉良町","","***","3290","***","-","-","-"
"1995100000","1995年度","23483","（旧）愛知県 幡豆町","","***","2384","***","-","-","-"
"1995100000","1995年度","32304","（旧）島根県 東出雲町","","***","1600","***","-","-","-"
"1995100000","1995年度","32401","（旧）島根県 斐川町","","***","0","***","-","-","-"
"1994100000","1994年度","03422","（旧）岩手県 藤沢町","","***","0","***","0.0","0.0","0.0"
"1994100000","1994年度","09321","（旧）栃木県 西方町","","***","0","***","54.0","4.0","0.0"
"1994100000","1994年度","09367","（旧）栃木県 岩舟町","","***","4285","***","227.5","6.5","32.0"
"1994100000","1994年度","11226","（旧）埼玉県 鳩ヶ谷市","","***","0","***","403.8","22.1","69.7"
"1994100000","1994年度","23481","（旧）愛知県 一色町","","***","1699","***","232.0","11.0","15.0"
"1994100000","1994年度","23482","（旧）愛知県 吉良町","","***","3286","***","205.0","8.0","56.0"
"1994100000","1994年度","23483","（旧）愛知県 幡豆町","","***","2384","***","120.0","5.0","37.4"
"1994100000","1994年度","32304","（旧）島根県 東出雲町","","***","1600","***","132.0","8.0","116.0"
"1994100000","1994年度","32401","（旧）島根県 斐川町","","***","0","***","136.0","79.0","168.0"
"1993100000","1993年度","03422","（旧）岩手県 藤沢町","","***","0","***","0.0","0.0","0.0"
"1993100000","1993年度","09321","（旧）栃木県 西方町","","***","0","***","54.0","4.0","0.0"
"1993100000","1993年度","09367","（旧）栃木県 岩舟町","","***","4285","***","227.5","6.5","32.0"
"1993100000","1993年度","11226","（旧）埼玉県 鳩ヶ谷市","","***","0","***","403.8","22.1","69.7"
"1993100000","1993年度","23481","（旧）愛知県 一色町","","***","1699","***","232.0","11.0","15.0"
"1993100000","1993年度","23482","（旧）愛知県 吉良町","","***","3286","***","205.0","8.0","56.0"
"1993100000","1993年度","23483","（旧）愛知県 幡豆町","","***","2384","***","12.0","0.5","3.7"
"1993100000","1993年度","32304","（旧）島根県 東出雲町","","***","1600","***","132.0","8.0","116.0"
"1993100000","1993年度","32401","（旧）島根県 斐川町","","***","0","***","136.0","79.0","168.0"
"1992100000","1992年度","03422","（旧）岩手県 藤沢町","","***","0","***","0.0","0.0","0.0"
"1992100000","1992年度","09321","（旧）栃木県 西方町","","***","0","***","54.0","4.0","0.0"
"1992100000","1992年度","09367","（旧）栃木県 岩舟町","","***","4285","***","227.5","6.0","32.0"
"1992100000","1992年度","11226","（旧）埼玉県 鳩ヶ谷市","","***","0","***","403.8","21.0","68.0"
"1992100000","1992年度","23481","（旧）愛知県 一色町","","***","1699","***","232.0","11.0","15.0"
"1992100000","1992年度","23482","（旧）愛知県 吉良町","","***","3284","***","205.0","8.0","56.0"
"1992100000","1992年度","23483","（旧）愛知県 幡豆町","","***","2384","***","11.9","0.0","3.0"
"1992100000","1992年度","32304","（旧）島根県 東出雲町","","***","1600","***","132.0","8.0","116.0"
"1992100000","1992年度","32401","（旧）島根県 斐川町","","***","0","***","136.0","79.0","168.0"
"1991100000","1991年度","03422","（旧）岩手県 藤沢町","","***","0","***","0.0","0.0","0.0"
"1991100000","1991年度","09321","（旧）栃木県 西方町","","***","0","***","54.0","4.0","0.0"
"1991100000","1991年度","09367","（旧）栃木県 岩舟町","","***","4285","***","227.5","6.0","32.0"
"1991100000","1991年度","11226","（旧）埼玉県 鳩ヶ谷市","","***","0","***","403.8","21.0","68.0"
"1991100000","1991年度","23481","（旧）愛知県 一色町","","***","1699","***","232.0","11.0","15.0"
"1991100000","1991年度","23482","（旧）愛知県 吉良町","","***","3284","***","205.0","8.0","56.0"
"1991100000","1991年度","23483","（旧）愛知県 幡豆町","","***","2384","***","119.0","5.0","37.0"
"1991100000","1991年度","32304","（旧）島根県 東出雲町","","***","1600","***","132.0","8.0","116.0"
"1991100000","1991年度","32401","（旧）島根県 斐川町","","***","0","***","136.0","79.0","168.0"
"1990100000","1990年度","03422","（旧）岩手県 藤沢町","","***","0","***","0.0","0.0","0.0"
"1990100000","1990年度","09321","（旧）栃木県 西方町","","***","0","***","54.0","4.0","0.0"
"1990100000","1990年度","09367","（旧）栃木県 岩舟町","","***","4285","***","227.5","6.0","32.0"
"1990100000","1990年度","11226","（旧）埼玉県 鳩ヶ谷市","","***","0","***","403.8","21.0","68.0"
"1990100000","1990年度","23481","（旧）愛知県 一色町","","***","1860","***","232.0","11.0","15.0"
"1990100000","1990年度","23482","（旧）愛知県 吉良町","","***","3293","***","199.0","8.0","56.0"
"1990100000","1990年度","23483","（旧）愛知県 幡豆町","","***","2379","***","119.0","5.0","37.0"
"1990100000","1990年度","32304","（旧）島根県 東出雲町","","***","1600","***","132.0","8.0","116.0"
"1990100000","1990年度","32401","（旧）島根県 斐川町","","***","0","***","136.0","79.0","168.0"
"1989100000","1989年度","03422","（旧）岩手県 藤沢町","","***","0","***","0.0","0.0","0.0"
"1989100000","1989年度","09321","（旧）栃木県 西方町","","***","0","***","54.0","4.0","0.0"
"1989100000","1989年度","09367","（旧）栃木県 岩舟町","","***","4297","***","227.5","6.0","32.0"
"1989100000","1989年度","11226","（旧）埼玉県 鳩ヶ谷市","","***","0","***","403.8","21.0","68.0"
"1989100000","1989年度","23481","（旧）愛知県 一色町","","***","1689","***","232.0","11.0","15.0"
"1989100000","1989年度","23482","（旧）愛知県 吉良町","","***","3318","***","198.0","8.0","56.0"
"1989100000","1989年度","23483","（旧）愛知県 幡豆町","","***","2382","***","117.0","5.0","33.0"
"1989100000","1989年度","32304","（旧）島根県 東出雲町","","***","1385","***","132.0","8.0","97.0"
"1989100000","1989年度","32401","（旧）島根県 斐川町","","***","0","***","136.0","79.0","168.0"
"1988100000","1988年度","03422","（旧）岩手県 藤沢町","","***","0","***","0.0","0.0","0.0"
"1988100000","1988年度","09321","（旧）栃木県 西方町","","***","0","***","54.0","4.0","0.0"
"1988100000","1988年度","09367","（旧）栃木県 岩舟町","","***","4292","***","227.5","6.0","32.0"
"1988100000","1988年度","11226","（旧）埼玉県 鳩ヶ谷市","","***","0","***","403.8","21.0","68.0"
"1988100000","1988年度","23481","（旧）愛知県 一色町","","***","1689","***","232.0","11.0","15.0"
"1988100000","1988年度","23482","（旧）愛知県 吉良町","","***","3318","***","198.0","8.0","56.0"
"1988100000","1988年度","23483","（旧）愛知県 幡豆町","","***","2382","***","117.0","5.0","33.0"
"1988100000","1988年度","32304","（旧）島根県 東出雲町","","***","1385","***","132.0","8.0","97.0"
"1988100000","1988年度","32401","（旧）島根県 斐川町","","***","0","***","136.0","79.0","168.0"
"1987100000","1987年度","03422","（旧）岩手県 藤沢町","","***","0","***","0.0","0.0","0.0"
"1987100000","1987年度","09321","（旧）栃木県 西方町","","***","0","***","54.0","4.0","0.0"
"1987100000","1987年度","09367","（旧）栃木県 岩舟町","","***","4292","***","227.5","6.0","32.0"
"1987100000","1987年度","11226","（旧）埼玉県 鳩ヶ谷市","","***","0","***","403.8","21.0","68.0"
"1987100000","1987年度","23481","（旧）愛知県 一色町","","***","1689","***","232.0","11.0","15.0"
"1987100000","1987年度","23482","（旧）愛知県 吉良町","","***","3318","***","198.0","8.0","56.0"
"1987100000","1987年度","23483","（旧）愛知県 幡豆町","","***","2383","***","117.0","5.0","33.0"
"1987100000","1987年度","32304","（旧）島根県 東出雲町","","***","1385","***","132.0","8.0","97.0"
"1987100000","1987年度","32401","（旧）島根県 斐川町","","***","0","***","136.0","79.0","168.0"
"1986100000","1986年度","03422","（旧）岩手県 藤沢町","","***","0","***","0.0","0.0","0.0"
"1986100000","1986年度","09321","（旧）栃木県 西方町","","***","0","***","54.0","4.0","0.0"
"1986100000","1986年度","09367","（旧）栃木県 岩舟町","","***","4292","***","227.5","6.0","32.0"
