"","","","","/項目 コード","B1101","B1102","B1103"
"調査年 コード","調査年","地域 コード","地域","/項目","B1101_総面積（北方地域及び竹島を除く）【ｈａ】","B1102_総面積（北方地域及び竹島を含む）【ｈａ】","B1103_可住地面積【ｈａ】"
"1995100000","1995年度","11226","（旧）埼玉県 鳩ヶ谷市","","622","***","622"
"1995100000","1995年度","23481","（旧）愛知県 一色町","","2234","***","2177"
"1995100000","1995年度","23482","（旧）愛知県 吉良町","","3598","***","2732"
"1995100000","1995年度","23483","（旧）愛知県 幡豆町","","2604","***","1178"
"1995100000","1995年度","32304","（旧）島根県 東出雲町","","4264","***","1435"
"1995100000","1995年度","32401","（旧）島根県 斐川町","","7331","***","5169"
"1994100000","1994年度","03422","（旧）岩手県 藤沢町","","12282","***","4956"
"1994100000","1994年度","09321","（旧）栃木県 西方町","","3200","***","1752"
"1994100000","1994年度","09367","（旧）栃木県 岩舟町","","4674","***","3079"
"1994100000","1994年度","11226","（旧）埼玉県 鳩ヶ谷市","","622","***","622"
"1994100000","1994年度","23481","（旧）愛知県 一色町","","2233","***","2176"
"1994100000","1994年度","23482","（旧）愛知県 吉良町","","3594","***","2728"
"1994100000","1994年度","23483","（旧）愛知県 幡豆町","","2603","***","1177"
"1994100000","1994年度","32304","（旧）島根県 東出雲町","","4264","***","1435"
"1994100000","1994年度","32401","（旧）島根県 斐川町","","7331","***","5169"
"1993100000","1993年度","03422","（旧）岩手県 藤沢町","","12282","***","4956"
"1993100000","1993年度","09321","（旧）栃木県 西方町","","3200","***","1752"
"1993100000","1993年度","09367","（旧）栃木県 岩舟町","","4674","***","3079"
"1993100000","1993年度","11226","（旧）埼玉県 鳩ヶ谷市","","622","***","622"
"1993100000","1993年度","23481","（旧）愛知県 一色町","","2233","***","2176"
"1993100000","1993年度","23482","（旧）愛知県 吉良町","","3594","***","2728"
"1993100000","1993年度","23483","（旧）愛知県 幡豆町","","2601","***","1175"
"1993100000","1993年度","32304","（旧）島根県 東出雲町","","4264","***","1435"
"1993100000","1993年度","32401","（旧）島根県 斐川町","","7331","***","5169"
"1992100000","1992年度","03422","（旧）岩手県 藤沢町","","12282","***","4956"
"1992100000","1992年度","09321","（旧）栃木県 西方町","","3200","***","1752"
"1992100000","1992年度","09367","（旧）栃木県 岩舟町","","4674","***","3079"
"1992100000","1992年度","11226","（旧）埼玉県 鳩ヶ谷市","","622","***","622"
"1992100000","1992年度","23481","（旧）愛知県 一色町","","2233","***","2176"
"1992100000","1992年度","23482","（旧）愛知県 吉良町","","3594","***","2728"
"1992100000","1992年度","23483","（旧）愛知県 幡豆町","","2601","***","1175"
"1992100000","1992年度","32304","（旧）島根県 東出雲町","","4264","***","1435"
"1992100000","1992年度","32401","（旧）島根県 斐川町","","7331","***","5169"
"1991100000","1991年度","03422","（旧）岩手県 藤沢町","","12282","***","4956"
"1991100000","1991年度","09321","（旧）栃木県 西方町","","3200","***","1752"
"1991100000","1991年度","09367","（旧）栃木県 岩舟町","","4674","***","3079"
"1991100000","1991年度","11226","（旧）埼玉県 鳩ヶ谷市","","622","***","622"
"1991100000","1991年度","23481","（旧）愛知県 一色町","","2230","***","2173"
"1991100000","1991年度","23482","（旧）愛知県 吉良町","","3594","***","2728"
