ele_ymd,election,prefecture,municipality,district,name_kanji,name_kana,age,gen,status,job,circle,win,n_votes,voting_ymd,year,month,day,kokuji_ymd,e_voting_rate,e_seats_target,e_n_candidates,e_competitive_ratio,e_all_voter,e_male_all_voter,e_female_all_voter,e_change_all_voter,e_reason,e_pre_v_rate,e_pre_seats_t,e_pre_n_cand,e_pre_compe_rate,d_voting_rate,d_seats_target,d_n_candidates,d_competitive_ratio,d_all_voter,d_male_all_voter,d_female_all_voter,d_change_all_voter,d_reason,d_pre_v_rate,d_pre_seats_t,d_pre_n_cand,d_pre_compe_rate
名古屋市議会議員選挙（2019年04月07日投票）,名古屋市議会議員選挙,愛知県,名古屋市, 西区,青木 ともこ,アオキ トモコ,48,女,現職,名古屋市議会議員,日本共産党,False,5097.0,20190407,2019,4,7,20190329,32.87,68,99,1.4558823529411764,1711629,nan,nan,-74080,任期満了,36.57,nan,nan,nan,33.63,4,5,1.25,120247,nan,nan,3761,任期満了,35.37,nan,nan,nan
名古屋市議会議員選挙（2019年04月07日投票）,名古屋市議会議員選挙,愛知県,名古屋市, 中村区,うかい 春美,ウカイ ハルミ,70,女,現職,名古屋市議会議員,nan,True,8760.0,20190407,2019,4,7,20190329,32.87,68,99,1.4558823529411764,1711629,nan,nan,-74080,任期満了,36.57,nan,nan,nan,31.61,4,7,1.75,110763,nan,nan,2199,任期満了,38.11,nan,nan,nan
名古屋市議会議員選挙（2019年04月07日投票）,名古屋市議会議員選挙,愛知県,名古屋市, 中村区,斉藤 たかお,サイトウ タカオ,51,男,現職,名古屋市議会議員,nan,True,6807.0,20190407,2019,4,7,20190329,32.87,68,99,1.4558823529411764,1711629,nan,nan,-74080,任期満了,36.57,nan,nan,nan,31.61,4,7,1.75,110763,nan,nan,2199,任期満了,38.11,nan,nan,nan
名古屋市議会議員選挙（2019年04月07日投票）,名古屋市議会議員選挙,愛知県,名古屋市, 中村区,中村 みつる,ナカムラ ミツル,61,男,現職,名古屋市議会議員,nan,True,5657.0,20190407,2019,4,7,20190329,32.87,68,99,1.4558823529411764,1711629,nan,nan,-74080,任期満了,36.57,nan,nan,nan,31.61,4,7,1.75,110763,nan,nan,2199,任期満了,38.11,nan,nan,nan
名古屋市議会議員選挙（2019年04月07日投票）,名古屋市議会議員選挙,愛知県,名古屋市, 中村区,小出 昭司,コイデ ショウジ,57,男,現職,名古屋市議会議員,nan,True,5179.0,20190407,2019,4,7,20190329,32.87,68,99,1.4558823529411764,1711629,nan,nan,-74080,任期満了,36.57,nan,nan,nan,31.61,4,7,1.75,110763,nan,nan,2199,任期満了,38.11,nan,nan,nan
名古屋市議会議員選挙（2019年04月07日投票）,名古屋市議会議員選挙,愛知県,名古屋市, 中村区,さの 勉,サノ ツトム,65,男,新人,（株）瀬川工業会社役員,nan,False,4221.0,20190407,2019,4,7,20190329,32.87,68,99,1.4558823529411764,1711629,nan,nan,-74080,任期満了,36.57,nan,nan,nan,31.61,4,7,1.75,110763,nan,nan,2199,任期満了,38.11,nan,nan,nan
名古屋市議会議員選挙（2019年04月07日投票）,名古屋市議会議員選挙,愛知県,名古屋市, 中村区,藤井 ひろき,フジイ ヒロキ,41,男,現職,名古屋市議会議員,nan,False,3798.0,20190407,2019,4,7,20190329,32.87,68,99,1.4558823529411764,1711629,nan,nan,-74080,任期満了,36.57,nan,nan,nan,31.61,4,7,1.75,110763,nan,nan,2199,任期満了,38.11,nan,nan,nan
名古屋市議会議員選挙（2019年04月07日投票）,名古屋市議会議員選挙,愛知県,名古屋市, 中村区,黒田 克明,クロダ カツアキ,46,男,新人,党首,nan,False,133.0,20190407,2019,4,7,20190329,32.87,68,99,1.4558823529411764,1711629,nan,nan,-74080,任期満了,36.57,nan,nan,nan,31.61,4,7,1.75,110763,nan,nan,2199,任期満了,38.11,nan,nan,nan
名古屋市議会議員選挙（2019年04月07日投票）,名古屋市議会議員選挙,愛知県,名古屋市, 中区,中田 ちづこ,ナカタ チヅコ,66,女,現職,名古屋市議会議員,自由民主党,True,6811.0,20190407,2019,4,7,20190329,32.87,68,99,1.4558823529411764,1711629,nan,nan,-74080,任期満了,36.57,nan,nan,nan,25.14,3,6,2.0,67627,nan,nan,5371,任期満了,28.69,nan,nan,nan
名古屋市議会議員選挙（2019年04月07日投票）,名古屋市議会議員選挙,愛知県,名古屋市, 中区,豊田 かおる,トヨダ カオル,59,女,新人,無職,減税日本,True,3843.0,20190407,2019,4,7,20190329,32.87,68,99,1.4558823529411764,1711629,nan,nan,-74080,任期満了,36.57,nan,nan,nan,25.14,3,6,2.0,67627,nan,nan,5371,任期満了,28.69,nan,nan,nan
名古屋市議会議員選挙（2019年04月07日投票）,名古屋市議会議員選挙,愛知県,名古屋市, 中区,塚本 つよし,ツカモト ツヨシ,38,男,現職,名古屋市議会議員,立憲民主党,True,1926.0,20190407,2019,4,7,20190329,32.87,68,99,1.4558823529411764,1711629,nan,nan,-74080,任期満了,36.57,nan,nan,nan,25.14,3,6,2.0,67627,nan,nan,5371,任期満了,28.69,nan,nan,nan
名古屋市議会議員選挙（2019年04月07日投票）,名古屋市議会議員選挙,愛知県,名古屋市, 中区,石原 あいこ,イシハラ アイコ,66,女,新人,団体職員,日本共産党,False,1559.0,20190407,2019,4,7,20190329,32.87,68,99,1.4558823529411764,1711629,nan,nan,-74080,任期満了,36.57,nan,nan,nan,25.14,3,6,2.0,67627,nan,nan,5371,任期満了,28.69,nan,nan,nan
